name,type,x,y,v_nom,control,generator
0,substation,114.27896666666668,-2.8550333333333335,150.0,Slack,
1,substation,110.2134,0.1595,150.0,Slack,
10,substation,111.7037,-2.6152,150.0,PQ,
11,substation,117.50215,0.31575,150.0,PQ,
12,substation,112.9154,-2.6220499999999998,150.0,PQ,
13,substation,109.23967999999999,0.04526,150.0,PQ,
14,substation,115.26295,-2.26065,150.0,PQ,
15,substation,114.7324375,-3.3671125,150.0,PQ,
16,substation,111.1602,0.03405,150.0,Slack,
17,substation,116.9215,1.0533,150.0,Slack,
18,substation,113.74593333333333,-2.1166,150.0,PQ,
19,substation,108.9092,0.8642333333333333,150.0,PQ,
2,substation,117.08144444444444,-0.4847333333333333,150.0,PQ,
3,substation,116.11314999999999,-1.761425,150.0,PQ,
4,substation,116.94583333333333,3.298766666666667,150.0,Slack,
5,substation,110.03030000000001,-1.7741999999999998,150.0,Slack,
6,substation,115.5367,-3.7067333333333337,150.0,PQ,
7,substation,109.42070000000001,1.0517,150.0,PQ,
8,substation,116.87774999999999,-1.1904166666666667,150.0,PQ,
9,substation,115.00215,-0.7442,150.0,PQ,
