name,bus0,bus1,capital_cost,length,carrier,r,x,type,s_nom,num_parallel
1,0,13,13.906790133953837,98.20001717288822,AC,0.11125432107163069,0.44501728428652276,NAYY 4x150 SE,337.7499074759311,1.0
2,0,18,11.78101798625006,77.46824107509836,AC,0.04654599266981507,0.1861839706792603,NAYY 4x150 SE,675.4998149518622,2.0
3,1,15,23.83272496298237,106.08899190021972,AC,0.19066179970385896,0.7626471988154359,NAYY 4x150 SE,337.7499074759311,1.0
4,1,9,10.849857415414071,81.67121670878787,AC,0.08679885932331256,0.34719543729325025,NAYY 4x150 SE,337.7499074759311,1.0
5,10,11,14.49099937375539,171.09522960592986,AC,0.11592799499004311,0.46371197996017244,NAYY 4x150 SE,337.7499074759311,1.0
6,10,15,11.57547378820276,109.58038016340026,AC,0.09260379030562209,0.37041516122248835,NAYY 4x150 SE,337.7499074759311,1.0
7,10,2,21.936211199546353,140.82746790557235,AC,0.0744316473143753,0.2977265892575012,NAYY 4x150 SE,675.4998149518622,2.0
8,12,7,19.613031322455893,101.79163256354609,AC,0.15690425057964716,0.6276170023185886,NAYY 4x150 SE,337.7499074759311,1.0
9,13,4,15.223222833592027,220.58449885874847,AC,0.1217857826687362,0.4871431306749448,NAYY 4x150 SE,337.7499074759311,1.0
10,13,7,9.173475162716313,90.9761052312065,AC,0.0733878013017305,0.293551205206922,NAYY 4x150 SE,337.7499074759311,1.0
11,14,2,20.753277108738274,110.23103136306335,AC,0.1660262168699062,0.6641048674796248,NAYY 4x150 SE,337.7499074759311,1.0
12,16,5,10.13226016892036,108.0413034072147,AC,0.0810580813513629,0.3242323254054516,NAYY 4x150 SE,337.7499074759311,1.0
13,16,8,8.30821142882957,134.59634843161055,AC,0.06646569143063656,0.26586276572254625,NAYY 4x150 SE,337.7499074759311,1.0
14,17,2,20.437487743011452,84.22493073772449,AC,0.16349990194409164,0.6539996077763666,NAYY 4x150 SE,337.7499074759311,1.0
15,17,5,14.187828097476311,101.23440982392272,AC,0.11350262477981049,0.45401049911924196,NAYY 4x150 SE,337.7499074759311,1.0
16,18,7,12.338916182566827,117.80333446982026,AC,0.09871132946053461,0.39484531784213844,NAYY 4x150 SE,337.7499074759311,1.0
17,19,3,12.661008241085165,249.69913842985753,AC,0.10128806592868132,0.4051522637147253,NAYY 4x150 SE,337.7499074759311,1.0
18,19,6,10.884554872671515,104.37417358502168,AC,0.08707643898137211,0.34830575592548846,NAYY 4x150 SE,337.7499074759311,1.0
19,6,9,17.48763098955775,100.55387818995706,AC,0.139901047916462,0.559604191665848,NAYY 4x150 SE,337.7499074759311,1.0
