# Renewables.ninja Solar PV (Point API) - -1.879, 113.525 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Pontianak, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Pontianak", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-1.87942", "lon": "113.5255", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 07:00,0.324,0.186,0.210,26.777
2020-01-01 01:00,2020-01-01 08:00,0.419,0.206,0.312,27.797
2020-01-01 02:00,2020-01-01 09:00,0.467,0.189,0.397,28.909
2020-01-01 03:00,2020-01-01 10:00,0.532,0.228,0.452,29.953
2020-01-01 04:00,2020-01-01 11:00,0.563,0.262,0.466,30.653
2020-01-01 05:00,2020-01-01 12:00,0.546,0.259,0.445,30.965
2020-01-01 06:00,2020-01-01 13:00,0.480,0.218,0.391,30.827
2020-01-01 07:00,2020-01-01 14:00,0.397,0.192,0.305,30.429
2020-01-01 08:00,2020-01-01 15:00,0.272,0.141,0.198,30.283
2020-01-01 09:00,2020-01-01 16:00,0.089,0.045,0.076,29.304
2020-01-01 10:00,2020-01-01 17:00,0.001,0.003,0.005,27.418
2020-01-01 11:00,2020-01-01 18:00,0,0,0,26.767
2020-01-01 12:00,2020-01-01 19:00,0,0,0,26.220
2020-01-01 13:00,2020-01-01 20:00,0,0,0,25.673
2020-01-01 14:00,2020-01-01 21:00,0,0,0,25.278
2020-01-01 15:00,2020-01-01 22:00,0,0,0,24.932
2020-01-01 16:00,2020-01-01 23:00,0,0,0,24.616
2020-01-01 17:00,2020-01-02 00:00,0,0,0,24.382
2020-01-01 18:00,2020-01-02 01:00,0,0,0,24.221
2020-01-01 19:00,2020-01-02 02:00,0,0,0,24.081
2020-01-01 20:00,2020-01-02 03:00,0,0,0,24.000
2020-01-01 21:00,2020-01-02 04:00,0,0,0,23.957
2020-01-01 22:00,2020-01-02 05:00,0.006,0.007,0.009,24.021
2020-01-01 23:00,2020-01-02 06:00,0.081,0.034,0.076,24.966
2020-01-02 00:00,2020-01-02 07:00,0.175,0.041,0.177,26.416
2020-01-02 01:00,2020-01-02 08:00,0.239,0.037,0.258,27.657
2020-01-02 02:00,2020-01-02 09:00,0.281,0.030,0.315,27.933
2020-01-02 03:00,2020-01-02 10:00,0.347,0.040,0.388,28.265
2020-01-02 04:00,2020-01-02 11:00,0.379,0.047,0.422,28.695
2020-01-02 05:00,2020-01-02 12:00,0.378,0.054,0.415,28.987
2020-01-02 06:00,2020-01-02 13:00,0.324,0.049,0.352,29.116
2020-01-02 07:00,2020-01-02 14:00,0.218,0.030,0.242,28.920
2020-01-02 08:00,2020-01-02 15:00,0.112,0.016,0.131,28.414
2020-01-02 09:00,2020-01-02 16:00,0.029,0.006,0.042,27.574
2020-01-02 10:00,2020-01-02 17:00,0,0.001,0.003,26.471
2020-01-02 11:00,2020-01-02 18:00,0,0,0,25.830
2020-01-02 12:00,2020-01-02 19:00,0,0,0,25.496
2020-01-02 13:00,2020-01-02 20:00,0,0,0,25.246
2020-01-02 14:00,2020-01-02 21:00,0,0,0,25.040
2020-01-02 15:00,2020-01-02 22:00,0,0,0,24.863
2020-01-02 16:00,2020-01-02 23:00,0,0,0,24.699
2020-01-02 17:00,2020-01-03 00:00,0,0,0,24.569
2020-01-02 18:00,2020-01-03 01:00,0,0,0,24.451
2020-01-02 19:00,2020-01-03 02:00,0,0,0,24.239
2020-01-02 20:00,2020-01-03 03:00,0,0,0,24.113
2020-01-02 21:00,2020-01-03 04:00,0,0,0,24.063
2020-01-02 22:00,2020-01-03 05:00,0.001,0.002,0.006,24.027
2020-01-02 23:00,2020-01-03 06:00,0.043,0.010,0.055,24.517
2020-01-03 00:00,2020-01-03 07:00,0.137,0.025,0.148,25.232
2020-01-03 01:00,2020-01-03 08:00,0.242,0.041,0.254,26.011
2020-01-03 02:00,2020-01-03 09:00,0.341,0.060,0.357,26.885
2020-01-03 03:00,2020-01-03 10:00,0.424,0.087,0.438,27.666
2020-01-03 04:00,2020-01-03 11:00,0.478,0.122,0.477,28.376
2020-01-03 05:00,2020-01-03 12:00,0.477,0.139,0.461,28.840
2020-01-03 06:00,2020-01-03 13:00,0.417,0.124,0.396,28.915
2020-01-03 07:00,2020-01-03 14:00,0.294,0.076,0.287,28.595
2020-01-03 08:00,2020-01-03 15:00,0.170,0.045,0.169,28.245
2020-01-03 09:00,2020-01-03 16:00,0.055,0.018,0.062,27.462
2020-01-03 10:00,2020-01-03 17:00,0.001,0.003,0.005,26.332
2020-01-03 11:00,2020-01-03 18:00,0,0,0,25.777
2020-01-03 12:00,2020-01-03 19:00,0,0,0,25.565
2020-01-03 13:00,2020-01-03 20:00,0,0,0,25.338
2020-01-03 14:00,2020-01-03 21:00,0,0,0,25.003
2020-01-03 15:00,2020-01-03 22:00,0,0,0,24.595
2020-01-03 16:00,2020-01-03 23:00,0,0,0,24.316
2020-01-03 17:00,2020-01-04 00:00,0,0,0,24.112
2020-01-03 18:00,2020-01-04 01:00,0,0,0,23.957
2020-01-03 19:00,2020-01-04 02:00,0,0,0,23.792
2020-01-03 20:00,2020-01-04 03:00,0,0,0,23.639
2020-01-03 21:00,2020-01-04 04:00,0,0,0,23.499
2020-01-03 22:00,2020-01-04 05:00,0.014,0.017,0.011,23.497
2020-01-03 23:00,2020-01-04 06:00,0.136,0.076,0.096,24.579
2020-01-04 00:00,2020-01-04 07:00,0.298,0.156,0.208,26.822
2020-01-04 01:00,2020-01-04 08:00,0.436,0.229,0.313,27.780
2020-01-04 02:00,2020-01-04 09:00,0.518,0.263,0.394,29.257
2020-01-04 03:00,2020-01-04 10:00,0.573,0.299,0.442,30.203
2020-01-04 04:00,2020-01-04 11:00,0.615,0.364,0.443,31.058
2020-01-04 05:00,2020-01-04 12:00,0.598,0.359,0.425,31.438
2020-01-04 06:00,2020-01-04 13:00,0.518,0.278,0.387,31.191
2020-01-04 07:00,2020-01-04 14:00,0.371,0.159,0.304,30.614
2020-01-04 08:00,2020-01-04 15:00,0.220,0.089,0.187,30.356
2020-01-04 09:00,2020-01-04 16:00,0.063,0.024,0.065,29.097
2020-01-04 10:00,2020-01-04 17:00,0.001,0.003,0.005,27.996
2020-01-04 11:00,2020-01-04 18:00,0,0,0,27.263
2020-01-04 12:00,2020-01-04 19:00,0,0,0,26.536
2020-01-04 13:00,2020-01-04 20:00,0,0,0,25.926
2020-01-04 14:00,2020-01-04 21:00,0,0,0,25.434
2020-01-04 15:00,2020-01-04 22:00,0,0,0,25.146
2020-01-04 16:00,2020-01-04 23:00,0,0,0,24.992
2020-01-04 17:00,2020-01-05 00:00,0,0,0,24.870
2020-01-04 18:00,2020-01-05 01:00,0,0,0,24.775
2020-01-04 19:00,2020-01-05 02:00,0,0,0,24.838
2020-01-04 20:00,2020-01-05 03:00,0,0,0,24.900
2020-01-04 21:00,2020-01-05 04:00,0,0,0,24.730
2020-01-04 22:00,2020-01-05 05:00,0.002,0.003,0.006,24.401
2020-01-04 23:00,2020-01-05 06:00,0.048,0.014,0.057,24.827
2020-01-05 00:00,2020-01-05 07:00,0.125,0.020,0.140,26.238
2020-01-05 01:00,2020-01-05 08:00,0.230,0.035,0.248,27.526
2020-01-05 02:00,2020-01-05 09:00,0.302,0.041,0.331,28.409
2020-01-05 03:00,2020-01-05 10:00,0.349,0.044,0.387,28.669
2020-01-05 04:00,2020-01-05 11:00,0.427,0.079,0.455,29.217
2020-01-05 05:00,2020-01-05 12:00,0.457,0.116,0.459,29.744
2020-01-05 06:00,2020-01-05 13:00,0.404,0.108,0.395,29.721
2020-01-05 07:00,2020-01-05 14:00,0.284,0.067,0.284,29.280
2020-01-05 08:00,2020-01-05 15:00,0.180,0.050,0.176,29.505
2020-01-05 09:00,2020-01-05 16:00,0.066,0.024,0.069,28.376
2020-01-05 10:00,2020-01-05 17:00,0.002,0.004,0.005,26.992
2020-01-05 11:00,2020-01-05 18:00,0,0,0,26.301
2020-01-05 12:00,2020-01-05 19:00,0,0,0,25.806
2020-01-05 13:00,2020-01-05 20:00,0,0,0,25.393
2020-01-05 14:00,2020-01-05 21:00,0,0,0,25.078
2020-01-05 15:00,2020-01-05 22:00,0,0,0,24.831
2020-01-05 16:00,2020-01-05 23:00,0,0,0,24.617
2020-01-05 17:00,2020-01-06 00:00,0,0,0,24.426
2020-01-05 18:00,2020-01-06 01:00,0,0,0,24.258
2020-01-05 19:00,2020-01-06 02:00,0,0,0,24.105
2020-01-05 20:00,2020-01-06 03:00,0,0,0,23.981
2020-01-05 21:00,2020-01-06 04:00,0,0,0,23.877
2020-01-05 22:00,2020-01-06 05:00,0.005,0.006,0.008,23.814
2020-01-05 23:00,2020-01-06 06:00,0.089,0.036,0.082,24.385
2020-01-06 00:00,2020-01-06 07:00,0.194,0.053,0.186,25.768
2020-01-06 01:00,2020-01-06 08:00,0.252,0.042,0.266,26.756
2020-01-06 02:00,2020-01-06 09:00,0.318,0.044,0.345,27.388
