# Renewables.ninja Solar PV (Point API) - -1.484, 116.525 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Makassar, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Makassar", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-1.4841", "lon": "116.5248", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 08:00,0.232,0.069,0.215,26.225
2020-01-01 01:00,2020-01-01 09:00,0.379,0.126,0.339,26.852
2020-01-01 02:00,2020-01-01 10:00,0.487,0.177,0.433,27.759
2020-01-01 03:00,2020-01-01 11:00,0.514,0.165,0.484,28.451
2020-01-01 04:00,2020-01-01 12:00,0.492,0.132,0.488,28.871
2020-01-01 05:00,2020-01-01 13:00,0.394,0.070,0.420,28.942
2020-01-01 06:00,2020-01-01 14:00,0.260,0.029,0.292,28.659
2020-01-01 07:00,2020-01-01 15:00,0.149,0.014,0.176,28.398
2020-01-01 08:00,2020-01-01 16:00,0.072,0.009,0.092,28.239
2020-01-01 09:00,2020-01-01 17:00,0.016,0.004,0.027,27.894
2020-01-01 10:00,2020-01-01 18:00,0,0,0.001,27.566
2020-01-01 11:00,2020-01-01 19:00,0,0,0,27.452
2020-01-01 12:00,2020-01-01 20:00,0,0,0,27.273
2020-01-01 13:00,2020-01-01 21:00,0,0,0,27.165
2020-01-01 14:00,2020-01-01 22:00,0,0,0,27.018
2020-01-01 15:00,2020-01-01 23:00,0,0,0,26.672
2020-01-01 16:00,2020-01-02 00:00,0,0,0,26.269
2020-01-01 17:00,2020-01-02 01:00,0,0,0,26.117
2020-01-01 18:00,2020-01-02 02:00,0,0,0,26.085
2020-01-01 19:00,2020-01-02 03:00,0,0,0,26.057
2020-01-01 20:00,2020-01-02 04:00,0,0,0,25.947
2020-01-01 21:00,2020-01-02 05:00,0,0,0,25.784
2020-01-01 22:00,2020-01-02 06:00,0.002,0.002,0.007,25.711
2020-01-01 23:00,2020-01-02 07:00,0.033,0.005,0.048,25.783
2020-01-02 00:00,2020-01-02 08:00,0.108,0.013,0.127,26.009
2020-01-02 01:00,2020-01-02 09:00,0.280,0.056,0.286,26.325
