# Renewables.ninja Solar PV (Point API) - 1.685, 116.867 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Makassar, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Makassar", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "1.6848", "lon": "116.8671", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 08:00,0.369,0.220,0.227,24.646
2020-01-01 01:00,2020-01-01 09:00,0.488,0.281,0.323,25.595
2020-01-01 02:00,2020-01-01 10:00,0.546,0.287,0.400,26.761
2020-01-01 03:00,2020-01-01 11:00,0.558,0.255,0.452,27.499
2020-01-01 04:00,2020-01-01 12:00,0.516,0.184,0.466,27.713
2020-01-01 05:00,2020-01-01 13:00,0.402,0.089,0.407,27.492
2020-01-01 06:00,2020-01-01 14:00,0.270,0.039,0.291,27.030
2020-01-01 07:00,2020-01-01 15:00,0.141,0.015,0.164,26.537
2020-01-01 08:00,2020-01-01 16:00,0.060,0.008,0.077,26.062
2020-01-01 09:00,2020-01-01 17:00,0.014,0.005,0.024,25.573
2020-01-01 10:00,2020-01-01 18:00,0,0,0,24.925
2020-01-01 11:00,2020-01-01 19:00,0,0,0,24.542
2020-01-01 12:00,2020-01-01 20:00,0,0,0,24.307
2020-01-01 13:00,2020-01-01 21:00,0,0,0,24.080
2020-01-01 14:00,2020-01-01 22:00,0,0,0,23.819
2020-01-01 15:00,2020-01-01 23:00,0,0,0,23.519
2020-01-01 16:00,2020-01-02 00:00,0,0,0,23.227
2020-01-01 17:00,2020-01-02 01:00,0,0,0,23.035
2020-01-01 18:00,2020-01-02 02:00,0,0,0,22.865
