# Renewables.ninja Solar PV (Point API) - 2.990, 116.419 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Makassar, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Makassar", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "2.9897", "lon": "116.4194", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 08:00,0.283,0.134,0.205,23.145
2020-01-01 01:00,2020-01-01 09:00,0.460,0.255,0.306,24.078
2020-01-01 02:00,2020-01-01 10:00,0.584,0.375,0.361,25.431
2020-01-01 03:00,2020-01-01 11:00,0.633,0.423,0.390,26.434
2020-01-01 04:00,2020-01-01 12:00,0.634,0.415,0.401,26.905
2020-01-01 05:00,2020-01-01 13:00,0.601,0.382,0.385,27.021
2020-01-01 06:00,2020-01-01 14:00,0.529,0.324,0.340,26.813
2020-01-01 07:00,2020-01-01 15:00,0.358,0.174,0.263,26.305
2020-01-01 08:00,2020-01-01 16:00,0.149,0.053,0.135,25.527
2020-01-01 09:00,2020-01-01 17:00,0.023,0.010,0.030,24.625
2020-01-01 10:00,2020-01-01 18:00,0,0,0,23.797
2020-01-01 11:00,2020-01-01 19:00,0,0,0,23.333
2020-01-01 12:00,2020-01-01 20:00,0,0,0,23.045
2020-01-01 13:00,2020-01-01 21:00,0,0,0,22.842
2020-01-01 14:00,2020-01-01 22:00,0,0,0,22.653
2020-01-01 15:00,2020-01-01 23:00,0,0,0,22.467
2020-01-01 16:00,2020-01-02 00:00,0,0,0,22.304
