# Renewables.ninja Solar PV (Point API) - -3.729, 115.449 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Makassar, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Makassar", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-3.72887", "lon": "115.4494", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 08:00,0.175,0.033,0.185,26.723
2020-01-01 01:00,2020-01-01 09:00,0.250,0.034,0.272,27.376
2020-01-01 02:00,2020-01-01 10:00,0.320,0.039,0.354,28.033
2020-01-01 03:00,2020-01-01 11:00,0.341,0.034,0.387,28.409
2020-01-01 04:00,2020-01-01 12:00,0.349,0.033,0.397,28.656
2020-01-01 05:00,2020-01-01 13:00,0.317,0.029,0.362,28.705
2020-01-01 06:00,2020-01-01 14:00,0.250,0.022,0.286,28.527
2020-01-01 07:00,2020-01-01 15:00,0.168,0.015,0.196,28.188
2020-01-01 08:00,2020-01-01 16:00,0.084,0.009,0.105,27.931
2020-01-01 09:00,2020-01-01 17:00,0.024,0.005,0.037,27.589
2020-01-01 10:00,2020-01-01 18:00,0,0.001,0.002,27.002
2020-01-01 11:00,2020-01-01 19:00,0,0,0,26.681
2020-01-01 12:00,2020-01-01 20:00,0,0,0,26.265
2020-01-01 13:00,2020-01-01 21:00,0,0,0,25.955
2020-01-01 14:00,2020-01-01 22:00,0,0,0,25.768
2020-01-01 15:00,2020-01-01 23:00,0,0,0,25.665
2020-01-01 16:00,2020-01-02 00:00,0,0,0,25.553
2020-01-01 17:00,2020-01-02 01:00,0,0,0,25.442
2020-01-01 18:00,2020-01-02 02:00,0,0,0,25.371
2020-01-01 19:00,2020-01-02 03:00,0,0,0,25.318
2020-01-01 20:00,2020-01-02 04:00,0,0,0,25.303
2020-01-01 21:00,2020-01-02 05:00,0,0,0,25.323
2020-01-01 22:00,2020-01-02 06:00,0.006,0.005,0.011,25.468
2020-01-01 23:00,2020-01-02 07:00,0.052,0.010,0.066,26.061
2020-01-02 00:00,2020-01-02 08:00,0.117,0.013,0.138,26.764
2020-01-02 01:00,2020-01-02 09:00,0.182,0.015,0.212,27.234
2020-01-02 02:00,2020-01-02 10:00,0.247,0.018,0.285,27.523
2020-01-02 03:00,2020-01-02 11:00,0.295,0.022,0.340,27.802
2020-01-02 04:00,2020-01-02 12:00,0.323,0.026,0.371,28.046
2020-01-02 05:00,2020-01-02 13:00,0.314,0.028,0.358,28.141
2020-01-02 06:00,2020-01-02 14:00,0.272,0.028,0.307,28.112
2020-01-02 07:00,2020-01-02 15:00,0.209,0.027,0.232,27.957
2020-01-02 08:00,2020-01-02 16:00,0.123,0.021,0.138,27.655
2020-01-02 09:00,2020-01-02 17:00,0.045,0.013,0.054,27.216
2020-01-02 10:00,2020-01-02 18:00,0,0.001,0.003,26.503
2020-01-02 11:00,2020-01-02 19:00,0,0,0,26.089
2020-01-02 12:00,2020-01-02 20:00,0,0,0,25.884
2020-01-02 13:00,2020-01-02 21:00,0,0,0,25.728
2020-01-02 14:00,2020-01-02 22:00,0,0,0,25.578
2020-01-02 15:00,2020-01-02 23:00,0,0,0,25.433
