# Renewables.ninja Solar PV (Point API) - 1.172, 109.504 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Pontianak, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Pontianak", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "1.1722", "lon": "109.5037", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 07:00,0.311,0.198,0.179,25.159
2020-01-01 01:00,2020-01-01 08:00,0.436,0.253,0.284,26.298
2020-01-01 02:00,2020-01-01 09:00,0.455,0.188,0.377,27.348
2020-01-01 03:00,2020-01-01 10:00,0.512,0.202,0.444,28.233
2020-01-01 04:00,2020-01-01 11:00,0.498,0.157,0.471,28.647
2020-01-01 05:00,2020-01-01 12:00,0.472,0.137,0.455,28.766
2020-01-01 06:00,2020-01-01 13:00,0.362,0.074,0.374,28.496
2020-01-01 07:00,2020-01-01 14:00,0.214,0.028,0.237,27.939
2020-01-01 08:00,2020-01-01 15:00,0.112,0.014,0.131,27.376
2020-01-01 09:00,2020-01-01 16:00,0.037,0.007,0.051,26.748
2020-01-01 10:00,2020-01-01 17:00,0.001,0.002,0.006,26.122
2020-01-01 11:00,2020-01-01 18:00,0,0,0,25.630
2020-01-01 12:00,2020-01-01 19:00,0,0,0,25.356
2020-01-01 13:00,2020-01-01 20:00,0,0,0,25.136
2020-01-01 14:00,2020-01-01 21:00,0,0,0,24.918
2020-01-01 15:00,2020-01-01 22:00,0,0,0,24.699
2020-01-01 16:00,2020-01-01 23:00,0,0,0,24.501
2020-01-01 17:00,2020-01-02 00:00,0,0,0,24.341
2020-01-01 18:00,2020-01-02 01:00,0,0,0,24.195
