# Renewables.ninja Solar PV (Point API) - -0.200, 109.899 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Pontianak, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Pontianak", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-0.1999", "lon": "109.8988", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "2", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 07:00,0.207,0.084,0.169,24.565
2020-01-01 01:00,2020-01-01 08:00,0.361,0.150,0.289,25.695
2020-01-01 02:00,2020-01-01 09:00,0.437,0.157,0.383,26.996
2020-01-01 03:00,2020-01-01 10:00,0.501,0.179,0.452,28.342
2020-01-01 04:00,2020-01-01 11:00,0.543,0.211,0.481,29.145
2020-01-01 05:00,2020-01-01 12:00,0.506,0.173,0.469,29.461
2020-01-01 06:00,2020-01-01 13:00,0.377,0.082,0.386,29.270
2020-01-01 07:00,2020-01-01 14:00,0.229,0.033,0.251,28.812
2020-01-01 08:00,2020-01-01 15:00,0.111,0.014,0.132,28.302
2020-01-01 09:00,2020-01-01 16:00,0.036,0.006,0.050,27.638
2020-01-01 10:00,2020-01-01 17:00,0.001,0.002,0.006,27.017
2020-01-01 11:00,2020-01-01 18:00,0,0,0,26.628
2020-01-01 12:00,2020-01-01 19:00,0,0,0,26.450
2020-01-01 13:00,2020-01-01 20:00,0,0,0,26.330
2020-01-01 14:00,2020-01-01 21:00,0,0,0,26.128
2020-01-01 15:00,2020-01-01 22:00,0,0,0,25.900
2020-01-01 16:00,2020-01-01 23:00,0,0,0,25.707
2020-01-01 17:00,2020-01-02 00:00,0,0,0,25.557
2020-01-01 18:00,2020-01-02 01:00,0,0,0,25.348
2020-01-01 19:00,2020-01-02 02:00,0,0,0,25.115
2020-01-01 20:00,2020-01-02 03:00,0,0,0,24.972
2020-01-01 21:00,2020-01-02 04:00,0,0,0,24.895
2020-01-01 22:00,2020-01-02 05:00,0,0.001,0.002,24.704
2020-01-01 23:00,2020-01-02 06:00,0.042,0.017,0.047,24.740
2020-01-02 00:00,2020-01-02 07:00,0.171,0.056,0.157,25.453
2020-01-02 01:00,2020-01-02 08:00,0.326,0.115,0.282,26.335
2020-01-02 02:00,2020-01-02 09:00,0.438,0.157,0.384,27.296
2020-01-02 03:00,2020-01-02 10:00,0.488,0.162,0.452,28.366
2020-01-02 04:00,2020-01-02 11:00,0.504,0.157,0.480,29.032
2020-01-02 05:00,2020-01-02 12:00,0.471,0.131,0.462,29.312
2020-01-02 06:00,2020-01-02 13:00,0.389,0.091,0.393,29.261
2020-01-02 07:00,2020-01-02 14:00,0.275,0.055,0.285,28.938
2020-01-02 08:00,2020-01-02 15:00,0.152,0.028,0.165,28.451
2020-01-02 09:00,2020-01-02 16:00,0.054,0.013,0.066,27.903
2020-01-02 10:00,2020-01-02 17:00,0.002,0.002,0.007,27.140
2020-01-02 11:00,2020-01-02 18:00,0,0,0,26.949
2020-01-02 12:00,2020-01-02 19:00,0,0,0,26.641
2020-01-02 13:00,2020-01-02 20:00,0,0,0,26.313
2020-01-02 14:00,2020-01-02 21:00,0,0,0,25.990
2020-01-02 15:00,2020-01-02 22:00,0,0,0,25.626
2020-01-02 16:00,2020-01-02 23:00,0,0,0,25.313
2020-01-02 17:00,2020-01-03 00:00,0,0,0,25.080
2020-01-02 18:00,2020-01-03 01:00,0,0,0,24.898
2020-01-02 19:00,2020-01-03 02:00,0,0,0,24.781
2020-01-02 20:00,2020-01-03 03:00,0,0,0,24.690
2020-01-02 21:00,2020-01-03 04:00,0,0,0,24.617
2020-01-02 22:00,2020-01-03 05:00,0,0,0.001,24.580
2020-01-02 23:00,2020-01-03 06:00,0.023,0.007,0.033,24.765
2020-01-03 00:00,2020-01-03 07:00,0.079,0.009,0.097,25.191
2020-01-03 01:00,2020-01-03 08:00,0.148,0.013,0.173,25.578
2020-01-03 02:00,2020-01-03 09:00,0.209,0.015,0.242,25.993
2020-01-03 03:00,2020-01-03 10:00,0.251,0.015,0.291,26.338
2020-01-03 04:00,2020-01-03 11:00,0.261,0.014,0.305,26.788
2020-01-03 05:00,2020-01-03 12:00,0.248,0.013,0.291,27.116
