costs,locs,techs,cost
emission,C1,ac_transmission:C2,0.0
emission,C1,biomass,0.0
emission,C1,coal,0.0
emission,C1,diesel,174050971.41176477
emission,C1,gas,0.0
emission,C1,geothermal,0.0
emission,C1,hydro,0.0
emission,C2,ac_transmission:C1,0.0
emission,C2,ac_transmission:C3,0.0
emission,C2,biomass,0.0
emission,C2,coal,0.0
emission,C2,diesel,20737122.0
emission,C2,gas,0.0
emission,C2,geothermal,0.0
emission,C2,hydro,0.0
emission,C3,ac_transmission:C2,0.0
emission,C3,ac_transmission:C4,0.0
emission,C3,biomass,0.0
emission,C3,coal,800013698.8235228
emission,C3,diesel,273776.4705882349
emission,C3,gas,0.0
emission,C3,geothermal,0.0
emission,C3,hydro,0.0
emission,C4,ac_transmission:C3,0.0
emission,C4,ac_transmission:S1,0.0
emission,C4,biomass,0.0
emission,C4,coal,408494428.08028466
emission,C4,diesel,0.0
emission,C4,gas,0.0
emission,C4,geothermal,0.0
emission,C4,hydro,0.0
emission,C5,ac_transmission:S2,0.0
emission,C5,biomass,0.0
emission,C5,coal,0.0
emission,C5,diesel,0.0
emission,C5,gas,175531446.3325072
emission,C5,geothermal,0.0
emission,C5,hydro,0.0
emission,E1,ac_transmission:E2,0.0
emission,E1,ac_transmission:S2,0.0
emission,E1,biomass,0.0
emission,E1,coal,0.0
emission,E1,diesel,0.0
emission,E1,gas,0.0
emission,E1,geothermal,0.0
emission,E1,hydro,0.0
emission,E2,ac_transmission:E1,0.0
emission,E2,ac_transmission:E3,0.0
emission,E2,biomass,0.0
emission,E2,coal,535182332.1176532
emission,E2,diesel,0.0
emission,E2,gas,258419781.2725584
emission,E2,geothermal,0.0
emission,E2,hydro,0.0
emission,E3,ac_transmission:E2,0.0
emission,E3,ac_transmission:E4,0.0
emission,E3,biomass,0.0
emission,E3,coal,1598641732.1148791
emission,E3,diesel,0.0
emission,E3,gas,10066643.800000004
emission,E3,geothermal,0.0
emission,E3,hydro,0.0
emission,E4,ac_transmission:E3,0.0
emission,E4,ac_transmission:E5,0.0
emission,E4,biomass,0.0
emission,E4,coal,120276941.04705766
emission,E4,diesel,0.0
emission,E4,gas,108926198.77999938
emission,E4,geothermal,0.0
emission,E4,hydro,0.0
emission,E5,ac_transmission:E4,0.0
emission,E5,ac_transmission:N1,0.0
emission,E5,biomass,0.0
emission,E5,coal,213200880.0
emission,E5,diesel,0.0
emission,E5,gas,0.0
emission,E5,geothermal,0.0
emission,E5,hydro,0.0
emission,N1,ac_transmission:E5,0.0
emission,N1,biomass,0.0
emission,N1,coal,0.0
emission,N1,diesel,0.0
emission,N1,free_transmission:N1-PV1,0.0
emission,N1,free_transmission:N1-PV2,0.0
emission,N1,free_transmission:N1-PV3,0.0
emission,N1,free_transmission:N1-PV4,0.0
emission,N1,free_transmission:N1-PV5,0.0
emission,N1,free_transmission:N1-PV6,0.0
emission,N1,free_transmission:N1-PV7,0.0
emission,N1,gas,321440888.21493894
emission,N1,geothermal,0.0
emission,N1,hydro,0.0
emission,N1-PV1,free_transmission:N1,0.0
emission,N1-PV1,solar,0.0
emission,N1-PV2,free_transmission:N1,0.0
emission,N1-PV2,solar,0.0
emission,N1-PV3,free_transmission:N1,0.0
emission,N1-PV3,solar,0.0
emission,N1-PV4,free_transmission:N1,0.0
emission,N1-PV4,solar,0.0
emission,N1-PV5,free_transmission:N1,0.0
emission,N1-PV5,solar,0.0
emission,N1-PV6,free_transmission:N1,0.0
emission,N1-PV6,solar,0.0
emission,N1-PV7,free_transmission:N1,0.0
emission,N1-PV7,solar,0.0
emission,S1,ac_transmission:C4,0.0
emission,S1,ac_transmission:S2,0.0
emission,S1,ac_transmission:S3,0.0
emission,S1,biomass,0.0
emission,S1,coal,767523167.9999877
emission,S1,diesel,21749989.79223311
emission,S1,gas,0.0
emission,S1,geothermal,0.0
emission,S1,hydro,0.0
emission,S2,ac_transmission:C5,0.0
emission,S2,ac_transmission:E1,0.0
emission,S2,ac_transmission:S1,0.0
emission,S2,biomass,0.0
emission,S2,coal,980447893.4198159
emission,S2,diesel,0.0
emission,S2,gas,0.0
emission,S2,geothermal,0.0
emission,S2,hydro,0.0
emission,S3,ac_transmission:S1,0.0
emission,S3,biomass,0.0
emission,S3,coal,717991042.8043172
emission,S3,diesel,0.0
emission,S3,gas,0.0
emission,S3,geothermal,0.0
emission,S3,hydro,0.0
emission,W1,ac_transmission:W2,0.0
emission,W1,ac_transmission:W3,0.0
emission,W1,biomass,0.0
emission,W1,coal,836682645.3238397
emission,W1,diesel,0.0
emission,W1,gas,0.0
emission,W1,geothermal,0.0
emission,W1,hydro,0.0
emission,W2,ac_transmission:W1,0.0
emission,W2,ac_transmission:W4,0.0
emission,W2,ac_transmission:W6,0.0
emission,W2,biomass,0.0
emission,W2,coal,0.0
emission,W2,diesel,122269050.83894977
emission,W2,gas,0.0
emission,W2,geothermal,0.0
emission,W2,hydro,0.0
emission,W3,ac_transmission:W1,0.0
emission,W3,ac_transmission:W4,0.0
emission,W3,biomass,0.0
emission,W3,coal,0.0
emission,W3,diesel,0.0
emission,W3,free_transmission:W3-PV1,0.0
emission,W3,free_transmission:W3-PV2,0.0
emission,W3,gas,0.0
emission,W3,geothermal,0.0
emission,W3,hvac_transmission:W3-IMP,0.0
emission,W3,hydro,0.0
emission,W3-IMP,hvac_transmission:W3,0.0
emission,W3-IMP,hydro_import,0.0
emission,W3-PV1,free_transmission:W3,0.0
emission,W3-PV1,solar,0.0
emission,W3-PV2,free_transmission:W3,0.0
emission,W3-PV2,solar,0.0
emission,W4,ac_transmission:W2,0.0
emission,W4,ac_transmission:W3,0.0
emission,W4,ac_transmission:W5,0.0
emission,W4,biomass,0.0
emission,W4,coal,200805480.0
emission,W4,diesel,77526439.83171368
emission,W4,free_transmission:W4-PV1,0.0
emission,W4,gas,0.0
emission,W4,geothermal,0.0
emission,W4,hydro,0.0
emission,W4-PV1,free_transmission:W4,0.0
emission,W4-PV1,solar,0.0
emission,W5,ac_transmission:W4,0.0
emission,W5,biomass,0.0
emission,W5,coal,0.0
emission,W5,diesel,193064529.65475476
emission,W5,gas,128964720.0
emission,W5,geothermal,0.0
emission,W5,hydro,0.0
emission,W6,ac_transmission:W2,0.0
emission,W6,biomass,0.0
emission,W6,coal,362082779.8678132
emission,W6,diesel,8249400.0
emission,W6,gas,0.0
emission,W6,geothermal,0.0
emission,W6,hydro,0.0
monetary,C1,ac_transmission:C2,132331.1778183348
monetary,C1,biomass,0.0
monetary,C1,coal,0.0
monetary,C1,diesel,10377260.203364236
monetary,C1,gas,0.0
monetary,C1,geothermal,0.0
monetary,C1,hydro,0.0
monetary,C2,ac_transmission:C1,2292.9378183346735
monetary,C2,ac_transmission:C3,2074302.2963854915
monetary,C2,biomass,0.0
monetary,C2,coal,0.0
monetary,C2,diesel,3177391.7427403904
monetary,C2,gas,0.0
monetary,C2,geothermal,0.0
monetary,C2,hydro,0.0
monetary,C3,ac_transmission:C2,3.8963854943676486
monetary,C3,ac_transmission:C4,0.0
monetary,C3,biomass,0.0
monetary,C3,coal,23412842.114121385
monetary,C3,diesel,1096113.0379168682
monetary,C3,gas,0.0
monetary,C3,geothermal,0.0
monetary,C3,hydro,0.0
monetary,C4,ac_transmission:C3,0.0
monetary,C4,ac_transmission:S1,0.6701891058226266
monetary,C4,biomass,0.0
monetary,C4,coal,12362563.502959633
monetary,C4,diesel,0.0
monetary,C4,gas,0.0
monetary,C4,geothermal,0.0
monetary,C4,hydro,0.0
monetary,C5,ac_transmission:S2,4810.922564779802
monetary,C5,biomass,0.0
monetary,C5,coal,0.0
monetary,C5,diesel,0.0
monetary,C5,gas,18201742.0332837
monetary,C5,geothermal,0.0
monetary,C5,hydro,0.0
monetary,E1,ac_transmission:E2,1326260.4600694692
monetary,E1,ac_transmission:S2,1083908.5031608548
monetary,E1,biomass,0.0
monetary,E1,coal,0.0
monetary,E1,diesel,0.0
monetary,E1,gas,0.0
monetary,E1,geothermal,0.0
monetary,E1,hydro,0.0
monetary,E2,ac_transmission:E1,4.287914182297869
monetary,E2,ac_transmission:E3,81655.03524187648
monetary,E2,biomass,0.0
monetary,E2,coal,15662406.109500494
monetary,E2,diesel,0.0
monetary,E2,gas,16073546.648666505
monetary,E2,geothermal,0.0
monetary,E2,hydro,0.0
monetary,E3,ac_transmission:E2,48066.6655006997
monetary,E3,ac_transmission:E4,78884.10201994545
monetary,E3,biomass,0.0
monetary,E3,coal,46831238.70917907
monetary,E3,diesel,0.0
monetary,E3,gas,1109116.6588475364
monetary,E3,geothermal,0.0
monetary,E3,hydro,0.0
monetary,E4,ac_transmission:E3,388711.9835728863
monetary,E4,ac_transmission:E5,0.0
monetary,E4,biomass,0.0
monetary,E4,coal,3519971.0140532735
monetary,E4,diesel,0.0
monetary,E4,gas,7609930.9237294225
monetary,E4,geothermal,0.0
monetary,E4,hydro,0.0
monetary,E5,ac_transmission:E4,0.0
monetary,E5,ac_transmission:N1,74549.3400395696
monetary,E5,biomass,0.0
monetary,E5,coal,6239441.336282432
monetary,E5,diesel,0.0
monetary,E5,gas,0.0
monetary,E5,geothermal,0.0
monetary,E5,hydro,0.0
monetary,N1,ac_transmission:E5,28238.22003956959
monetary,N1,biomass,0.0
monetary,N1,coal,0.0
monetary,N1,diesel,0.0
monetary,N1,free_transmission:N1-PV1,0.0
monetary,N1,free_transmission:N1-PV2,0.0
monetary,N1,free_transmission:N1-PV3,0.0
monetary,N1,free_transmission:N1-PV4,0.0
monetary,N1,free_transmission:N1-PV5,0.0
monetary,N1,free_transmission:N1-PV6,0.0
monetary,N1,free_transmission:N1-PV7,0.0
monetary,N1,gas,15627386.71632788
monetary,N1,geothermal,0.0
monetary,N1,hydro,0.0
monetary,N1-PV1,free_transmission:N1,0.0
monetary,N1-PV1,solar,9213.810790680225
monetary,N1-PV2,free_transmission:N1,0.0
monetary,N1-PV2,solar,9214.05775363492
monetary,N1-PV3,free_transmission:N1,0.0
monetary,N1-PV3,solar,31322.32258131139
monetary,N1-PV4,free_transmission:N1,0.0
monetary,N1-PV4,solar,18425.829226385667
monetary,N1-PV5,free_transmission:N1,0.0
monetary,N1-PV5,solar,9214.4686195631
monetary,N1-PV6,free_transmission:N1,0.0
monetary,N1-PV6,solar,9214.128203054386
monetary,N1-PV7,free_transmission:N1,0.0
monetary,N1-PV7,solar,9214.57821427154
monetary,S1,ac_transmission:C4,329349.4341084919
monetary,S1,ac_transmission:S2,445447.9162196817
monetary,S1,ac_transmission:S3,453282.21652908344
monetary,S1,biomass,0.0
monetary,S1,coal,22461988.81061678
monetary,S1,diesel,4268015.35024589
monetary,S1,gas,0.0
monetary,S1,geothermal,0.0
monetary,S1,hydro,7544260.435544699
monetary,S2,ac_transmission:C5,126805.93487000227
monetary,S2,ac_transmission:E1,3.075316139893553
monetary,S2,ac_transmission:S1,3.3172538670559546
monetary,S2,biomass,0.0
monetary,S2,coal,28693348.330808703
monetary,S2,diesel,0.0
monetary,S2,gas,0.0
monetary,S2,geothermal,0.0
monetary,S2,hydro,0.0
monetary,S3,ac_transmission:S1,1.2577521575027377
monetary,S3,biomass,0.0
monetary,S3,coal,22784924.74504044
monetary,S3,diesel,0.0
monetary,S3,gas,0.0
monetary,S3,geothermal,0.0
monetary,S3,hydro,0.0
monetary,W1,ac_transmission:W2,5.446404219806224
monetary,W1,ac_transmission:W3,0.0
monetary,W1,biomass,0.0
monetary,W1,coal,24494965.56264763
monetary,W1,diesel,0.0
monetary,W1,gas,0.0
monetary,W1,geothermal,0.0
monetary,W1,hydro,0.0
monetary,W2,ac_transmission:W1,3445556.9852042184
monetary,W2,ac_transmission:W4,0.0
monetary,W2,ac_transmission:W6,83136.52270273691
monetary,W2,biomass,0.0
monetary,W2,coal,0.0
monetary,W2,diesel,11201032.00533898
monetary,W2,gas,0.0
monetary,W2,geothermal,0.0
monetary,W2,hydro,0.0
monetary,W3,ac_transmission:W1,0.0
monetary,W3,ac_transmission:W4,2.0965349352465608
monetary,W3,biomass,0.0
monetary,W3,coal,0.0
monetary,W3,diesel,0.0
