locs,techs,energy_cap
C1,ac_transmission:C2,23.125000000000007
C1,biomass,0.0
C1,coal,0.0
C1,demand_power,45.166666666666664
C1,diesel,45.545098039215674
C1,gas,0.0
C1,geothermal,0.0
C1,hydro,0.0
C2,ac_transmission:C1,23.12500000000001
C2,ac_transmission:C3,70.73529411764707
C2,biomass,0.0
C2,coal,0.0
C2,demand_power,61.833333333333336
C2,diesel,17.07
C2,gas,0.0
C2,geothermal,0.0
C2,hydro,0.0
C3,ac_transmission:C2,70.73529411764707
C3,ac_transmission:C4,0.0
C3,biomass,0.0
C3,coal,107.5686274509804
C3,demand_power,61.833333333333336
C3,diesel,6.549019607843131
C3,gas,0.0
C3,geothermal,0.0
C3,hydro,0.0
C4,ac_transmission:C3,0.0
C4,ac_transmission:S1,12.166666666666666
C4,biomass,0.0
C4,coal,56.833333333333336
C4,demand_power,56.833333333333336
C4,diesel,0.0
C4,gas,0.0
C4,geothermal,0.0
C4,hydro,0.0
C5,ac_transmission:S2,102.63333333333334
C5,biomass,0.0
C5,coal,0.0
C5,demand_power,53.666666666666664
C5,diesel,0.0
C5,gas,156.3
C5,geothermal,0.0
C5,hydro,0.0
E1,ac_transmission:E2,77.84313725490196
E1,ac_transmission:S2,55.829535341040845
E1,biomass,0.0
E1,coal,0.0
E1,demand_power,71.5
E1,diesel,0.0
E1,gas,0.0
E1,geothermal,0.0
E1,hydro,0.0
E2,ac_transmission:E1,77.84313725490196
E2,ac_transmission:E3,28.071666666666612
E2,biomass,0.0
E2,coal,71.95980392156864
E2,demand_power,129.5
E2,diesel,0.0
E2,gas,125.55
E2,geothermal,0.0
E2,hydro,0.0
E3,ac_transmission:E2,28.071666666666612
E3,ac_transmission:E4,30.884083044982706
E3,biomass,0.0
E3,coal,215.16666666666666
E3,demand_power,259.1666666666667
E3,diesel,0.0
E3,gas,9.6
E3,geothermal,0.0
E3,hydro,0.0
E4,ac_transmission:E3,30.884083044982706
E4,ac_transmission:E5,0.0
E4,biomass,0.0
E4,coal,16.172254901960844
E4,demand_power,64.83333333333333
E4,diesel,0.0
E4,gas,61.06
E4,geothermal,0.0
E4,hydro,0.0
E5,ac_transmission:E4,0.0
E5,ac_transmission:N1,9.803921568627452
E5,biomass,0.0
E5,coal,28.666666666666668
E5,demand_power,37.0
E5,diesel,0.0
E5,gas,0.0
E5,geothermal,0.0
E5,hydro,0.0
N1,ac_transmission:E5,9.803921568627452
N1,biomass,0.0
N1,coal,0.0
N1,demand_power,104.83333333333333
N1,diesel,0.0
N1,free_transmission:N1-PV1,0.1
N1,free_transmission:N1-PV2,0.1
N1,free_transmission:N1-PV3,0.33999999999999997
N1,free_transmission:N1-PV4,0.2
N1,free_transmission:N1-PV5,0.1
N1,free_transmission:N1-PV6,0.1
N1,free_transmission:N1-PV7,0.1
N1,gas,113.59725490196077
N1,geothermal,0.0
N1,hydro,0.0
N1-PV1,free_transmission:N1,0.10000000000000002
N1-PV1,solar,0.1
