carriers,techs,systemwide_capacity_factor
power,ac_transmission:C1,0.0023568061211896585
power,ac_transmission:C2,0.033529783029008796
power,ac_transmission:C3,0.6974124967960577
power,ac_transmission:C4,0.6437823777119537
power,ac_transmission:C5,0.02938234404307304
power,ac_transmission:E1,0.0
power,ac_transmission:E2,0.30859313798101745
power,ac_transmission:E3,0.18974151059122624
power,ac_transmission:E4,0.060743535356984894
power,ac_transmission:E5,0.06849893835616452
power,ac_transmission:N1,0.1808404109589041
power,ac_transmission:S1,0.0
power,ac_transmission:S2,0.16684218049837088
power,ac_transmission:S3,0.4721204533472955
power,ac_transmission:W1,0.8287609710723091
power,ac_transmission:W2,0.0
power,ac_transmission:W3,0.4951863264122245
power,ac_transmission:W4,0.007224653964783702
power,ac_transmission:W5,0.0
power,ac_transmission:W6,0.2326082641922683
power,biomass,0.9999999999999923
power,coal,0.9894866184628791
power,diesel,0.45643525754420505
power,free_transmission:N1,0.0
power,free_transmission:N1-PV1,0.5000000000000059
power,free_transmission:N1-PV2,0.5000000000000059
power,free_transmission:N1-PV3,0.49999999999999495
power,free_transmission:N1-PV4,0.5000000000000059
power,free_transmission:N1-PV5,0.500005938995873
power,free_transmission:N1-PV6,0.5000000000000059
power,free_transmission:N1-PV7,0.5000000000000059
power,free_transmission:W3,0.0
power,free_transmission:W3-PV1,0.5000000000000018
power,free_transmission:W3-PV2,0.7094531004914867
power,free_transmission:W4,0.0
power,free_transmission:W4-PV1,0.5000017233106581
power,gas,0.5289287313823718
power,hvac_transmission:W3,0.0
power,hvac_transmission:W3-IMP,0.8500000000000094
power,hydro,0.9986914598456899
power,hydro_import,1.0000000000000209
power,solar,0.5068678863261181
