carriers,costs,techs,systemwide_levelised_cost
power,emission,ac_transmission:C1,0.0
power,emission,ac_transmission:C2,0.0
power,emission,ac_transmission:C3,0.0
power,emission,ac_transmission:C4,0.0
power,emission,ac_transmission:C5,0.0
power,emission,ac_transmission:E2,0.0
power,emission,ac_transmission:E3,0.0
power,emission,ac_transmission:E4,0.0
power,emission,ac_transmission:E5,0.0
power,emission,ac_transmission:N1,0.0
power,emission,ac_transmission:S2,0.0
power,emission,ac_transmission:S3,0.0
power,emission,ac_transmission:W1,0.0
power,emission,ac_transmission:W3,0.0
power,emission,ac_transmission:W4,0.0
power,emission,ac_transmission:W6,0.0
power,emission,biomass,0.0
power,emission,coal,848.9999999999873
power,emission,diesel,600.0000000000028
power,emission,free_transmission:N1-PV1,0.0
power,emission,free_transmission:N1-PV2,0.0
power,emission,free_transmission:N1-PV3,0.0
power,emission,free_transmission:N1-PV4,0.0
power,emission,free_transmission:N1-PV5,0.0
power,emission,free_transmission:N1-PV6,0.0
power,emission,free_transmission:N1-PV7,0.0
power,emission,free_transmission:W3-PV1,0.0
power,emission,free_transmission:W3-PV2,0.0
power,emission,free_transmission:W4-PV1,0.0
power,emission,gas,432.99999999999574
power,emission,hvac_transmission:W3-IMP,0.0
power,emission,hydro,0.0
power,emission,hydro_import,0.0
power,emission,solar,0.0
power,monetary,ac_transmission:C1,4.802668073507522
power,monetary,ac_transmission:C2,4.800187538701601
power,monetary,ac_transmission:C3,4.8000090163741
power,monetary,ac_transmission:C4,4.800009767480652
power,monetary,ac_transmission:C5,4.800214010562433
power,monetary,ac_transmission:E1,inf
power,monetary,ac_transmission:E2,4.800020376771892
power,monetary,ac_transmission:E3,4.800033140518155
power,monetary,ac_transmission:E4,4.800103519361152
power,monetary,ac_transmission:E5,4.800091798969808
power,monetary,ac_transmission:N1,4.800034771719116
power,monetary,ac_transmission:S1,inf
power,monetary,ac_transmission:S2,4.800037689102078
power,monetary,ac_transmission:S3,4.800013318914558
power,monetary,ac_transmission:W1,4.800007587389119
power,monetary,ac_transmission:W2,inf
power,monetary,ac_transmission:W3,4.800012698517
power,monetary,ac_transmission:W4,4.800870371370721
power,monetary,ac_transmission:W5,inf
power,monetary,ac_transmission:W6,4.800027033140867
power,monetary,biomass,49.34586205325416
power,monetary,coal,25.10568599508458
power,monetary,diesel,51.29238153321138
power,monetary,free_transmission:N1-PV1,0.0
power,monetary,free_transmission:N1-PV2,0.0
power,monetary,free_transmission:N1-PV3,0.0
power,monetary,free_transmission:N1-PV4,0.0
power,monetary,free_transmission:N1-PV5,0.0
power,monetary,free_transmission:N1-PV6,0.0
power,monetary,free_transmission:N1-PV7,0.0
power,monetary,free_transmission:W3-PV1,0.0
power,monetary,free_transmission:W3-PV2,0.0
power,monetary,free_transmission:W4-PV1,0.0
power,monetary,gas,27.49187954377952
power,monetary,hvac_transmission:W3,inf
power,monetary,hvac_transmission:W3-IMP,11.200007841670471
power,monetary,hydro,29.301831206245506
power,monetary,hydro_import,29.26547122010935
power,monetary,solar,20.8249818873526
