costs,locs,techs,cost_energy_cap
monetary,C1,ac_transmission:C2,1.0
monetary,C1,biomass,2500000.0
monetary,C1,coal,1650000.0
monetary,C1,diesel,1200000.0
monetary,C1,gas,750000.0
monetary,C1,geothermal,4500000.0
monetary,C1,hydro,1900000.0
monetary,C2,ac_transmission:C1,1.0
monetary,C2,ac_transmission:C3,1.0
monetary,C2,biomass,2500000.0
monetary,C2,coal,1650000.0
monetary,C2,diesel,1200000.0
monetary,C2,gas,750000.0
monetary,C2,geothermal,4500000.0
monetary,C2,hydro,1900000.0
monetary,C3,ac_transmission:C2,1.0
monetary,C3,ac_transmission:C4,1.0
monetary,C3,biomass,2500000.0
monetary,C3,coal,1650000.0
monetary,C3,diesel,1200000.0
monetary,C3,gas,750000.0
monetary,C3,geothermal,4500000.0
monetary,C3,hydro,1900000.0
monetary,C4,ac_transmission:C3,1.0
monetary,C4,ac_transmission:S1,1.0
monetary,C4,biomass,2500000.0
monetary,C4,coal,1650000.0
monetary,C4,diesel,1200000.0
monetary,C4,gas,750000.0
monetary,C4,geothermal,4500000.0
monetary,C4,hydro,1900000.0
monetary,C5,ac_transmission:S2,1.0
monetary,C5,biomass,2500000.0
monetary,C5,coal,1650000.0
monetary,C5,diesel,1200000.0
monetary,C5,gas,750000.0
monetary,C5,geothermal,4500000.0
monetary,C5,hydro,1900000.0
monetary,E1,ac_transmission:E2,1.0
monetary,E1,ac_transmission:S2,1.0
monetary,E1,biomass,2500000.0
monetary,E1,coal,1650000.0
monetary,E1,diesel,1200000.0
monetary,E1,gas,750000.0
monetary,E1,geothermal,4500000.0
monetary,E1,hydro,1900000.0
monetary,E2,ac_transmission:E1,1.0
monetary,E2,ac_transmission:E3,1.0
monetary,E2,biomass,2500000.0
monetary,E2,coal,1650000.0
monetary,E2,diesel,1200000.0
monetary,E2,gas,750000.0
monetary,E2,geothermal,4500000.0
monetary,E2,hydro,1900000.0
monetary,E3,ac_transmission:E2,1.0
monetary,E3,ac_transmission:E4,1.0
monetary,E3,biomass,2500000.0
monetary,E3,coal,1650000.0
monetary,E3,diesel,1200000.0
monetary,E3,gas,750000.0
monetary,E3,geothermal,4500000.0
monetary,E3,hydro,1900000.0
monetary,E4,ac_transmission:E3,1.0
monetary,E4,ac_transmission:E5,1.0
monetary,E4,biomass,2500000.0
monetary,E4,coal,1650000.0
monetary,E4,diesel,1200000.0
monetary,E4,gas,750000.0
monetary,E4,geothermal,4500000.0
monetary,E4,hydro,1900000.0
monetary,E5,ac_transmission:E4,1.0
monetary,E5,ac_transmission:N1,1.0
monetary,E5,biomass,2500000.0
monetary,E5,coal,1650000.0
monetary,E5,diesel,1200000.0
monetary,E5,gas,750000.0
monetary,E5,geothermal,4500000.0
monetary,E5,hydro,1900000.0
monetary,N1,ac_transmission:E5,1.0
monetary,N1,biomass,2500000.0
monetary,N1,coal,1650000.0
