locs,techs,energy_eff
C1,ac_transmission:C2,0.85
C1,biomass,0.29
C1,coal,0.29
C1,diesel,0.25
C1,gas,0.56
C1,geothermal,1.0
C1,hydro,0.33
C2,ac_transmission:C1,0.85
C2,ac_transmission:C3,0.85
C2,biomass,0.29
C2,coal,0.29
C2,diesel,0.25
C2,gas,0.56
C2,geothermal,1.0
C2,hydro,0.33
C3,ac_transmission:C2,0.85
C3,ac_transmission:C4,0.85
C3,biomass,0.29
C3,coal,0.29
C3,diesel,0.25
C3,gas,0.56
C3,geothermal,1.0
C3,hydro,0.33
C4,ac_transmission:C3,0.85
C4,ac_transmission:S1,0.85
C4,biomass,0.29
C4,coal,0.29
C4,diesel,0.25
C4,gas,0.56
C4,geothermal,1.0
C4,hydro,0.33
C5,ac_transmission:S2,0.85
C5,biomass,0.29
C5,coal,0.29
C5,diesel,0.25
C5,gas,0.56
C5,geothermal,1.0
C5,hydro,0.33
E1,ac_transmission:E2,0.85
E1,ac_transmission:S2,0.85
E1,biomass,0.29
E1,coal,0.29
E1,diesel,0.25
E1,gas,0.56
E1,geothermal,1.0
E1,hydro,0.33
E2,ac_transmission:E1,0.85
E2,ac_transmission:E3,0.85
E2,biomass,0.29
E2,coal,0.29
E2,diesel,0.25
E2,gas,0.56
E2,geothermal,1.0
E2,hydro,0.33
E3,ac_transmission:E2,0.85
E3,ac_transmission:E4,0.85
E3,biomass,0.29
E3,coal,0.29
E3,diesel,0.25
E3,gas,0.56
E3,geothermal,1.0
E3,hydro,0.33
E4,ac_transmission:E3,0.85
E4,ac_transmission:E5,0.85
E4,biomass,0.29
E4,coal,0.29
E4,diesel,0.25
E4,gas,0.56
E4,geothermal,1.0
E4,hydro,0.33
E5,ac_transmission:E4,0.85
E5,ac_transmission:N1,0.85
E5,biomass,0.29
E5,coal,0.29
E5,diesel,0.25
E5,gas,0.56
E5,geothermal,1.0
E5,hydro,0.33
N1,ac_transmission:E5,0.85
N1,biomass,0.29
N1,coal,0.29
N1,diesel,0.25
N1,free_transmission:N1-PV1,1.0
N1,free_transmission:N1-PV2,1.0
N1,free_transmission:N1-PV3,1.0
N1,free_transmission:N1-PV4,1.0
N1,free_transmission:N1-PV5,1.0
N1,free_transmission:N1-PV6,1.0
N1,free_transmission:N1-PV7,1.0
N1,gas,0.56
N1,geothermal,1.0
N1,hydro,0.33
N1-PV1,free_transmission:N1,1.0
N1-PV1,solar,1.0
N1-PV2,free_transmission:N1,1.0
N1-PV2,solar,1.0
N1-PV3,free_transmission:N1,1.0
N1-PV3,solar,1.0
N1-PV4,free_transmission:N1,1.0
N1-PV4,solar,1.0
N1-PV5,free_transmission:N1,1.0
N1-PV5,solar,1.0
N1-PV6,free_transmission:N1,1.0
N1-PV6,solar,1.0
N1-PV7,free_transmission:N1,1.0
N1-PV7,solar,1.0
S1,ac_transmission:C4,0.85
S1,ac_transmission:S2,0.85
S1,ac_transmission:S3,0.85
S1,biomass,0.29
S1,coal,0.29
S1,diesel,0.25
S1,gas,0.56
S1,geothermal,1.0
S1,hydro,0.33
S2,ac_transmission:C5,0.85
S2,ac_transmission:E1,0.85
S2,ac_transmission:S1,0.85
S2,biomass,0.29
S2,coal,0.29
S2,diesel,0.25
S2,gas,0.56
S2,geothermal,1.0
S2,hydro,0.33
S3,ac_transmission:S1,0.85
S3,biomass,0.29
S3,coal,0.29
S3,diesel,0.25
S3,gas,0.56
S3,geothermal,1.0
S3,hydro,0.33
W1,ac_transmission:W2,0.85
W1,ac_transmission:W3,0.85
W1,biomass,0.29
W1,coal,0.29
W1,diesel,0.25
W1,gas,0.56
W1,geothermal,1.0
W1,hydro,0.33
W2,ac_transmission:W1,0.85
W2,ac_transmission:W4,0.85
W2,ac_transmission:W6,0.85
W2,biomass,0.29
W2,coal,0.29
W2,diesel,0.25
W2,gas,0.56
W2,geothermal,1.0
W2,hydro,0.33
W3,ac_transmission:W1,0.85
W3,ac_transmission:W4,0.85
W3,biomass,0.29
W3,coal,0.29
W3,diesel,0.25
W3,free_transmission:W3-PV1,1.0
W3,free_transmission:W3-PV2,1.0
W3,gas,0.56
W3,geothermal,1.0
W3,hvac_transmission:W3-IMP,0.85
W3,hydro,0.33
W3-IMP,hvac_transmission:W3,0.85
W3-IMP,hydro_import,0.33
W3-PV1,free_transmission:W3,1.0
W3-PV1,solar,1.0
W3-PV2,free_transmission:W3,1.0
W3-PV2,solar,1.0
W4,ac_transmission:W2,0.85
W4,ac_transmission:W3,0.85
W4,ac_transmission:W5,0.85
W4,biomass,0.29
W4,coal,0.29
W4,diesel,0.25
W4,free_transmission:W4-PV1,1.0
W4,gas,0.56
W4,geothermal,1.0
W4,hydro,0.33
W4-PV1,free_transmission:W4,1.0
W4-PV1,solar,1.0
W5,ac_transmission:W4,0.85
W5,biomass,0.29
W5,coal,0.29
W5,diesel,0.25
W5,gas,0.56
W5,geothermal,1.0
W5,hydro,0.33
W6,ac_transmission:W2,0.85
W6,biomass,0.29
W6,coal,0.29
W6,diesel,0.25
W6,gas,0.56
W6,geothermal,1.0
W6,hydro,0.33
