locs,techs,timesteps,resource
C1,demand_power,2021-01-01 00:00:00,-191.0
C1,demand_power,2021-01-01 06:00:00,-177.0
C1,demand_power,2021-01-01 12:00:00,-188.0
C1,demand_power,2021-01-01 18:00:00,-201.0
C1,demand_power,2021-01-02 00:00:00,-178.0
C1,demand_power,2021-01-02 06:00:00,-184.0
C1,demand_power,2021-01-02 12:00:00,-199.0
C1,demand_power,2021-01-02 18:00:00,-206.0
C1,demand_power,2021-01-03 00:00:00,-179.0
C1,demand_power,2021-01-03 06:00:00,-174.0
C1,demand_power,2021-01-03 12:00:00,-184.0
C1,demand_power,2021-01-03 18:00:00,-192.0
C1,demand_power,2021-01-04 00:00:00,-168.0
C1,demand_power,2021-01-04 06:00:00,-198.0
C1,demand_power,2021-01-04 12:00:00,-229.0
C1,demand_power,2021-01-04 18:00:00,-220.0
C1,demand_power,2021-01-05 00:00:00,-185.0
C1,demand_power,2021-01-05 06:00:00,-207.0
C1,demand_power,2021-01-05 12:00:00,-240.0
C1,demand_power,2021-01-05 18:00:00,-228.0
C1,demand_power,2021-01-06 00:00:00,-191.0
C1,demand_power,2021-01-06 06:00:00,-211.0
C1,demand_power,2021-01-06 12:00:00,-233.0
C1,demand_power,2021-01-06 18:00:00,-223.0
C1,demand_power,2021-01-07 00:00:00,-187.0
C1,demand_power,2021-01-07 06:00:00,-206.0
C1,demand_power,2021-01-07 12:00:00,-235.0
C1,demand_power,2021-01-07 18:00:00,-228.0
C1,demand_power,2021-01-08 00:00:00,-191.0
C1,demand_power,2021-01-08 06:00:00,-206.0
C1,demand_power,2021-01-08 12:00:00,-236.0
C1,demand_power,2021-01-08 18:00:00,-228.0
C1,demand_power,2021-01-09 00:00:00,-193.0
C1,demand_power,2021-01-09 06:00:00,-194.0
C1,demand_power,2021-01-09 12:00:00,-215.0
C1,demand_power,2021-01-09 18:00:00,-218.0
C1,demand_power,2021-01-10 00:00:00,-187.0
C1,demand_power,2021-01-10 06:00:00,-179.0
C1,demand_power,2021-01-10 12:00:00,-195.0
C1,demand_power,2021-01-10 18:00:00,-207.0
C1,demand_power,2021-01-11 00:00:00,-181.0
C1,demand_power,2021-01-11 06:00:00,-205.0
C1,demand_power,2021-01-11 12:00:00,-240.0
C1,demand_power,2021-01-11 18:00:00,-230.0
C1,demand_power,2021-01-12 00:00:00,-196.0
C1,demand_power,2021-01-12 06:00:00,-212.0
C1,demand_power,2021-01-12 12:00:00,-239.0
C1,demand_power,2021-01-12 18:00:00,-229.0
C1,demand_power,2021-01-13 00:00:00,-195.0
C1,demand_power,2021-01-13 06:00:00,-207.0
C1,demand_power,2021-01-13 12:00:00,-232.0
C1,demand_power,2021-01-13 18:00:00,-223.0
C1,demand_power,2021-01-14 00:00:00,-190.0
C1,demand_power,2021-01-14 06:00:00,-203.0
C1,demand_power,2021-01-14 12:00:00,-233.0
C1,demand_power,2021-01-14 18:00:00,-224.0
C1,demand_power,2021-01-15 00:00:00,-192.0
C1,demand_power,2021-01-15 06:00:00,-202.0
C1,demand_power,2021-01-15 12:00:00,-229.0
C1,demand_power,2021-01-15 18:00:00,-225.0
C1,demand_power,2021-01-16 00:00:00,-194.0
C1,demand_power,2021-01-16 06:00:00,-192.0
C1,demand_power,2021-01-16 12:00:00,-216.0
C1,demand_power,2021-01-16 18:00:00,-223.0
C1,demand_power,2021-01-17 00:00:00,-197.0
C1,demand_power,2021-01-17 06:00:00,-182.0
C1,demand_power,2021-01-17 12:00:00,-201.0
C1,demand_power,2021-01-17 18:00:00,-211.0
C1,demand_power,2021-01-18 00:00:00,-185.0
C1,demand_power,2021-01-18 06:00:00,-205.0
C1,demand_power,2021-01-18 12:00:00,-235.0
C1,demand_power,2021-01-18 18:00:00,-224.0
C1,demand_power,2021-01-19 00:00:00,-193.0
C1,demand_power,2021-01-19 06:00:00,-207.0
C1,demand_power,2021-01-19 12:00:00,-234.0
C1,demand_power,2021-01-19 18:00:00,-224.0
C1,demand_power,2021-01-20 00:00:00,-192.0
C1,demand_power,2021-01-20 06:00:00,-205.0
C1,demand_power,2021-01-20 12:00:00,-234.0
C1,demand_power,2021-01-20 18:00:00,-226.0
C1,demand_power,2021-01-21 00:00:00,-194.0
C1,demand_power,2021-01-21 06:00:00,-207.0
C1,demand_power,2021-01-21 12:00:00,-240.0
C1,demand_power,2021-01-21 18:00:00,-229.0
C1,demand_power,2021-01-22 00:00:00,-197.0
C1,demand_power,2021-01-22 06:00:00,-205.0
C1,demand_power,2021-01-22 12:00:00,-234.0
C1,demand_power,2021-01-22 18:00:00,-225.0
C1,demand_power,2021-01-23 00:00:00,-196.0
C1,demand_power,2021-01-23 06:00:00,-192.0
C1,demand_power,2021-01-23 12:00:00,-211.0
C1,demand_power,2021-01-23 18:00:00,-215.0
C1,demand_power,2021-01-24 00:00:00,-189.0
C1,demand_power,2021-01-24 06:00:00,-179.0
C1,demand_power,2021-01-24 12:00:00,-197.0
C1,demand_power,2021-01-24 18:00:00,-212.0
C1,demand_power,2021-01-25 00:00:00,-190.0
C1,demand_power,2021-01-25 06:00:00,-209.0
C1,demand_power,2021-01-25 12:00:00,-240.0
C1,demand_power,2021-01-25 18:00:00,-231.0
C1,demand_power,2021-01-26 00:00:00,-198.0
C1,demand_power,2021-01-26 06:00:00,-211.0
C1,demand_power,2021-01-26 12:00:00,-244.0
C1,demand_power,2021-01-26 18:00:00,-235.0
C1,demand_power,2021-01-27 00:00:00,-203.0
C1,demand_power,2021-01-27 06:00:00,-210.0
C1,demand_power,2021-01-27 12:00:00,-242.0
C1,demand_power,2021-01-27 18:00:00,-229.0
C1,demand_power,2021-01-28 00:00:00,-198.0
C1,demand_power,2021-01-28 06:00:00,-197.0
C1,demand_power,2021-01-28 12:00:00,-220.0
C1,demand_power,2021-01-28 18:00:00,-221.0
C1,demand_power,2021-01-29 00:00:00,-193.0
C1,demand_power,2021-01-29 06:00:00,-204.0
C1,demand_power,2021-01-29 12:00:00,-232.0
C1,demand_power,2021-01-29 18:00:00,-228.0
C1,demand_power,2021-01-30 00:00:00,-197.0
C1,demand_power,2021-01-30 06:00:00,-194.0
C1,demand_power,2021-01-30 12:00:00,-214.0
C1,demand_power,2021-01-30 18:00:00,-224.0
C1,demand_power,2021-01-31 00:00:00,-189.0
C1,demand_power,2021-01-31 06:00:00,-179.0
C1,demand_power,2021-01-31 12:00:00,-199.0
C1,demand_power,2021-01-31 18:00:00,-213.0
C1,demand_power,2021-02-01 00:00:00,-191.0
C1,demand_power,2021-02-01 06:00:00,-204.0
C1,demand_power,2021-02-01 12:00:00,-235.0
C1,demand_power,2021-02-01 18:00:00,-233.0
C1,demand_power,2021-02-02 00:00:00,-203.0
C1,demand_power,2021-02-02 06:00:00,-216.0
C1,demand_power,2021-02-02 12:00:00,-246.0
C1,demand_power,2021-02-02 18:00:00,-237.0
C1,demand_power,2021-02-03 00:00:00,-207.0
C1,demand_power,2021-02-03 06:00:00,-217.0
