carriers,techs,systemwide_capacity_factor
power,ac_transmission:C2,0.0
power,ac_transmission:C3,0.7810089677420818
power,ac_transmission:C4,0.6277322199286994
power,ac_transmission:E1,0.0
power,ac_transmission:E2,0.19427806523381372
power,ac_transmission:S1,0.0
power,ac_transmission:S2,0.4587424575355137
power,ac_transmission:S3,0.463162016518936
power,ac_transmission:W1,0.8289811562866065
power,ac_transmission:W2,0.0
power,ac_transmission:W3,0.671094045668221
power,ac_transmission:W4,0.0
power,ac_transmission:W6,0.2500322848423457
power,biomass,0.9999999999999938
power,coal,0.9375754694341635
power,diesel,0.516693368793772
power,free_transmission:N1,0.0
power,free_transmission:N1-PV1,0.5000000000000059
power,free_transmission:N1-PV2,0.5000000000000059
power,free_transmission:N1-PV3,0.49999999999999495
power,free_transmission:N1-PV4,0.5000000000000059
power,free_transmission:N1-PV5,0.5006849315068552
power,free_transmission:N1-PV6,0.5000000000000059
power,free_transmission:N1-PV7,0.5000000000000059
power,free_transmission:W3,0.0
power,free_transmission:W3-PV1,0.5000000000000018
power,free_transmission:W3-PV2,0.7479452054794632
power,free_transmission:W4,0.0
power,free_transmission:W4-PV1,0.01030908266557918
power,gas,0.6448273996645997
power,hvac_transmission:W3,0.0
power,hvac_transmission:W3-IMP,0.8365033775821217
power,hydro,1.0000000000000084
power,hydro_import,0.9841216206848267
power,solar,0.5084212890186206
