techs,names
ac_transmission,AC power transmission
ac_transmission_new,AC power transmission
battery,Li-ion battery storage
biomass,Biomass power
coal,Supercritical coal turbine
dc_transmission,DC power transmission
demand_power,Power demand
diesel,Diesel power generator
gas,Combined cycle gas turbine
geothermal,Geothermal power
hvac_transmission,HVAC power transmission
hydro,Run-of-river hydropower
hydro_import,SESCO Hydropower Import
nuclear,Nuclear power reactor
pumped_hydro,Pumped storage hydropower
solar,Solar PV power
wind_offshore,Offshore wind turbine
wind_onshore,Onshore wind turbine
