locs,techs,timesteps,resource_con
N1,solar,2021-01-01 00:00:00,0.0
N1,solar,2021-01-01 02:00:00,0.0
N1,solar,2021-01-01 04:00:00,0.0
N1,solar,2021-01-01 06:00:00,0.256672
N1,solar,2021-01-01 08:00:00,1.001728
N1,solar,2021-01-01 10:00:00,1.205984
N1,solar,2021-01-01 12:00:00,0.942656
N1,solar,2021-01-01 14:00:00,0.392704
N1,solar,2021-01-01 16:00:00,0.050752000000000005
N1,solar,2021-01-01 18:00:00,0.0
N1,solar,2021-01-01 20:00:00,0.0
N1,solar,2021-01-01 22:00:00,0.0
N1,solar,2021-01-02 00:00:00,0.0
N1,solar,2021-01-02 02:00:00,0.0
N1,solar,2021-01-02 04:00:00,0.0
N1,solar,2021-01-02 06:00:00,0.049088
N1,solar,2021-01-02 08:00:00,0.315952
N1,solar,2021-01-02 10:00:00,0.542048
N1,solar,2021-01-02 12:00:00,0.580528
N1,solar,2021-01-02 14:00:00,0.404352
N1,solar,2021-01-02 16:00:00,0.10296000000000001
N1,solar,2021-01-02 18:00:00,0.0
N1,solar,2021-01-02 20:00:00,0.0
N1,solar,2021-01-02 22:00:00,0.0
N1,solar,2021-01-03 00:00:00,0.0
N1,solar,2021-01-03 02:00:00,0.0
N1,solar,2021-01-03 04:00:00,0.0
N1,solar,2021-01-03 06:00:00,0.12334400000000001
N1,solar,2021-01-03 08:00:00,0.6999200000000001
N1,solar,2021-01-03 10:00:00,1.0489439999999999
N1,solar,2021-01-03 12:00:00,1.042288
N1,solar,2021-01-03 14:00:00,0.65
N1,solar,2021-01-03 16:00:00,0.15912
N1,solar,2021-01-03 18:00:00,0.0
N1,solar,2021-01-03 20:00:00,0.0
N1,solar,2021-01-03 22:00:00,0.0
N1,solar,2021-01-04 00:00:00,0.0
N1,solar,2021-01-04 02:00:00,0.0
N1,solar,2021-01-04 04:00:00,0.0
N1,solar,2021-01-04 06:00:00,0.063024
N1,solar,2021-01-04 08:00:00,0.425776
N1,solar,2021-01-04 10:00:00,0.703456
N1,solar,2021-01-04 12:00:00,0.6593600000000001
N1,solar,2021-01-04 14:00:00,0.457808
N1,solar,2021-01-04 16:00:00,0.14040000000000002
N1,solar,2021-01-04 18:00:00,0.0
N1,solar,2021-01-04 20:00:00,0.0
N1,solar,2021-01-04 22:00:00,0.0
N1,solar,2021-01-05 00:00:00,0.0
N1,solar,2021-01-05 02:00:00,0.0
N1,solar,2021-01-05 04:00:00,0.0
N1,solar,2021-01-05 06:00:00,0.112528
N1,solar,2021-01-05 08:00:00,0.543088
N1,solar,2021-01-05 10:00:00,0.705744
N1,solar,2021-01-05 12:00:00,0.680992
N1,solar,2021-01-05 14:00:00,0.45052800000000004
N1,solar,2021-01-05 16:00:00,0.13665600000000003
N1,solar,2021-01-05 18:00:00,0.0
N1,solar,2021-01-05 20:00:00,0.0
N1,solar,2021-01-05 22:00:00,0.0
N1,solar,2021-01-06 00:00:00,0.0
N1,solar,2021-01-06 02:00:00,0.0
N1,solar,2021-01-06 04:00:00,0.0
N1,solar,2021-01-06 06:00:00,0.14747200000000002
N1,solar,2021-01-06 08:00:00,0.6791200000000001
N1,solar,2021-01-06 10:00:00,0.840528
N1,solar,2021-01-06 12:00:00,0.8592480000000001
N1,solar,2021-01-06 14:00:00,0.5720000000000001
N1,solar,2021-01-06 16:00:00,0.16286400000000004
N1,solar,2021-01-06 18:00:00,0.0
N1,solar,2021-01-06 20:00:00,0.0
N1,solar,2021-01-06 22:00:00,0.0
N1,solar,2021-01-07 00:00:00,0.0
N1,solar,2021-01-07 02:00:00,0.0
N1,solar,2021-01-07 04:00:00,0.0
N1,solar,2021-01-07 06:00:00,0.32052800000000004
N1,solar,2021-01-07 08:00:00,1.192464
N1,solar,2021-01-07 10:00:00,1.4497600000000002
N1,solar,2021-01-07 12:00:00,1.4584960000000002
N1,solar,2021-01-07 14:00:00,1.2559040000000001
N1,solar,2021-01-07 16:00:00,0.5982080000000001
N1,solar,2021-01-07 18:00:00,0.0
N1,solar,2021-01-07 20:00:00,0.0
N1,solar,2021-01-07 22:00:00,0.0
N1,solar,2021-01-08 00:00:00,0.0
N1,solar,2021-01-08 02:00:00,0.0
N1,solar,2021-01-08 04:00:00,0.0
N1,solar,2021-01-08 06:00:00,0.317408
N1,solar,2021-01-08 08:00:00,0.9135360000000001
N1,solar,2021-01-08 10:00:00,1.1246559999999999
N1,solar,2021-01-08 12:00:00,1.045408
N1,solar,2021-01-08 14:00:00,0.7856160000000001
N1,solar,2021-01-08 16:00:00,0.269152
N1,solar,2021-01-08 18:00:00,0.0
N1,solar,2021-01-08 20:00:00,0.0
N1,solar,2021-01-08 22:00:00,0.0
N1,solar,2021-01-09 00:00:00,0.0
N1,solar,2021-01-09 02:00:00,0.0
N1,solar,2021-01-09 04:00:00,0.0
N1,solar,2021-01-09 06:00:00,0.11377600000000002
N1,solar,2021-01-09 08:00:00,0.514592
N1,solar,2021-01-09 10:00:00,0.834704
N1,solar,2021-01-09 12:00:00,0.845312
N1,solar,2021-01-09 14:00:00,0.5193760000000001
N1,solar,2021-01-09 16:00:00,0.10462400000000001
N1,solar,2021-01-09 18:00:00,0.0
N1,solar,2021-01-09 20:00:00,0.0
N1,solar,2021-01-09 22:00:00,0.0
N1,solar,2021-01-10 00:00:00,0.0
N1,solar,2021-01-10 02:00:00,0.0
N1,solar,2021-01-10 04:00:00,0.0
N1,solar,2021-01-10 06:00:00,0.141856
N1,solar,2021-01-10 08:00:00,0.519376
N1,solar,2021-01-10 10:00:00,0.669136
N1,solar,2021-01-10 12:00:00,0.60008
N1,solar,2021-01-10 14:00:00,0.375024
N1,solar,2021-01-10 16:00:00,0.088608
N1,solar,2021-01-10 18:00:00,0.0
N1,solar,2021-01-10 20:00:00,0.0
N1,solar,2021-01-10 22:00:00,0.0
N1,solar,2021-01-11 00:00:00,0.0
N1,solar,2021-01-11 02:00:00,0.0
N1,solar,2021-01-11 04:00:00,0.0
N1,solar,2021-01-11 06:00:00,0.051376
N1,solar,2021-01-11 08:00:00,0.409136
N1,solar,2021-01-11 10:00:00,0.849264
N1,solar,2021-01-11 12:00:00,0.958672
N1,solar,2021-01-11 14:00:00,0.622128
N1,solar,2021-01-11 16:00:00,0.144352
N1,solar,2021-01-11 18:00:00,0.0
N1,solar,2021-01-11 20:00:00,0.0
N1,solar,2021-01-11 22:00:00,0.0
N1,solar,2021-01-12 00:00:00,0.0
N1,solar,2021-01-12 02:00:00,0.0
N1,solar,2021-01-12 04:00:00,0.0
N1,solar,2021-01-12 06:00:00,0.077584
N1,solar,2021-01-12 08:00:00,0.41392
N1,solar,2021-01-12 10:00:00,0.6990879999999999
N1,solar,2021-01-12 12:00:00,0.793728
N1,solar,2021-01-12 14:00:00,0.617552
N1,solar,2021-01-12 16:00:00,0.19448000000000001
N1,solar,2021-01-12 18:00:00,0.0
N1,solar,2021-01-12 20:00:00,0.0
N1,solar,2021-01-12 22:00:00,0.0
N1,solar,2021-01-13 00:00:00,0.0
N1,solar,2021-01-13 02:00:00,0.0
N1,solar,2021-01-13 04:00:00,0.0
N1,solar,2021-01-13 06:00:00,0.22048
N1,solar,2021-01-13 08:00:00,0.9326720000000001
N1,solar,2021-01-13 10:00:00,1.33432
N1,solar,2021-01-13 12:00:00,1.347424
N1,solar,2021-01-13 14:00:00,0.945152
N1,solar,2021-01-13 16:00:00,0.332592
N1,solar,2021-01-13 18:00:00,0.0
N1,solar,2021-01-13 20:00:00,0.0
N1,solar,2021-01-13 22:00:00,0.0
N1,solar,2021-01-14 00:00:00,0.0
N1,solar,2021-01-14 02:00:00,0.0
N1,solar,2021-01-14 04:00:00,0.0
N1,solar,2021-01-14 06:00:00,0.386464
N1,solar,2021-01-14 08:00:00,1.194336
N1,solar,2021-01-14 10:00:00,1.442688
N1,solar,2021-01-14 12:00:00,1.432704
N1,solar,2021-01-14 14:00:00,1.131728
N1,solar,2021-01-14 16:00:00,0.35775999999999997
N1,solar,2021-01-14 18:00:00,0.0
N1,solar,2021-01-14 20:00:00,0.0
N1,solar,2021-01-14 22:00:00,0.0
N1,solar,2021-01-15 00:00:00,0.0
N1,solar,2021-01-15 02:00:00,0.0
N1,solar,2021-01-15 04:00:00,0.0
N1,solar,2021-01-15 06:00:00,0.362336
N1,solar,2021-01-15 08:00:00,1.0626719999999998
N1,solar,2021-01-15 10:00:00,1.3024960000000003
N1,solar,2021-01-15 12:00:00,1.2361440000000001
N1,solar,2021-01-15 14:00:00,0.8738080000000001
N1,solar,2021-01-15 16:00:00,0.253344
N1,solar,2021-01-15 18:00:00,0.0
N1,solar,2021-01-15 20:00:00,0.0
N1,solar,2021-01-15 22:00:00,0.0
N1,solar,2021-01-16 00:00:00,0.0
N1,solar,2021-01-16 02:00:00,0.0
N1,solar,2021-01-16 04:00:00,0.0
N1,solar,2021-01-16 06:00:00,0.27372799999999997
N1,solar,2021-01-16 08:00:00,1.057056
N1,solar,2021-01-16 10:00:00,1.3118560000000001
N1,solar,2021-01-16 12:00:00,1.284816
N1,solar,2021-01-16 14:00:00,0.903344
N1,solar,2021-01-16 16:00:00,0.321776
N1,solar,2021-01-16 18:00:00,0.0
N1,solar,2021-01-16 20:00:00,0.0
N1,solar,2021-01-16 22:00:00,0.0
N1,solar,2021-01-17 00:00:00,0.0
N1,solar,2021-01-17 02:00:00,0.0
N1,solar,2021-01-17 04:00:00,0.0
N1,solar,2021-01-17 06:00:00,0.14331200000000002
N1,solar,2021-01-17 08:00:00,0.7785440000000001
N1,solar,2021-01-17 10:00:00,1.16584
N1,solar,2021-01-17 12:00:00,1.080768
N1,solar,2021-01-17 14:00:00,0.709904
N1,solar,2021-01-17 16:00:00,0.17180800000000002
N1,solar,2021-01-17 18:00:00,0.0
N1,solar,2021-01-17 20:00:00,0.0
N1,solar,2021-01-17 22:00:00,0.0
N1,solar,2021-01-18 00:00:00,0.0
N1,solar,2021-01-18 02:00:00,0.0
N1,solar,2021-01-18 04:00:00,0.0
N1,solar,2021-01-18 06:00:00,0.38313600000000003
N1,solar,2021-01-18 08:00:00,1.19912
N1,solar,2021-01-18 10:00:00,1.4630720000000002
N1,solar,2021-01-18 12:00:00,1.455168
N1,solar,2021-01-18 14:00:00,1.1687520000000002
N1,solar,2021-01-18 16:00:00,0.406016
