locs,techs,energy_eff
C1,ac_transmission:C2,0.91
C1,ac_transmission_new:W6,0.91
C1,battery,0.96
C1,biomass,0.29
C1,coal,0.38
C1,diesel,0.46
C1,gas,0.57
C1,geothermal,0.18
C1,hydro,0.95
C1,pumped_hydro,0.92
C1,wind_offshore,1.0
C1,wind_onshore,1.0
C2,ac_transmission:C1,0.91
C2,ac_transmission:C3,0.91
C2,battery,0.96
C2,biomass,0.29
C2,coal,0.38
C2,diesel,0.46
C2,gas,0.57
C2,geothermal,0.18
C2,hydro,0.95
C2,pumped_hydro,0.92
C2,wind_offshore,1.0
C2,wind_onshore,1.0
C3,ac_transmission:C2,0.91
C3,ac_transmission:C4,0.91
C3,ac_transmission:C5,0.91
C3,battery,0.96
C3,biomass,0.29
C3,coal,0.38
C3,diesel,0.46
C3,gas,0.57
C3,geothermal,0.18
C3,hydro,0.95
C3,pumped_hydro,0.92
C3,wind_offshore,1.0
C3,wind_onshore,1.0
C4,ac_transmission:C3,0.91
C4,ac_transmission:S1,0.91
C4,battery,0.96
C4,biomass,0.29
C4,coal,0.38
C4,diesel,0.46
C4,gas,0.57
C4,geothermal,0.18
C4,hydro,0.95
C4,pumped_hydro,0.92
C4,wind_offshore,1.0
C4,wind_onshore,1.0
C5,ac_transmission:C3,0.91
C5,ac_transmission:S2,0.91
C5,ac_transmission_new:E3,0.91
C5,battery,0.96
C5,biomass,0.29
C5,coal,0.38
C5,diesel,0.46
C5,gas,0.57
C5,geothermal,0.18
C5,hydro,0.95
C5,pumped_hydro,0.92
C5,wind_offshore,1.0
C5,wind_onshore,1.0
E1,ac_transmission:E2,0.91
E1,ac_transmission:S2,0.91
E1,battery,0.96
E1,biomass,0.29
E1,coal,0.38
E1,diesel,0.46
E1,gas,0.57
E1,geothermal,0.18
E1,hydro,0.95
E1,pumped_hydro,0.92
E1,wind_offshore,1.0
E1,wind_onshore,1.0
E2,ac_transmission:E1,0.91
E2,ac_transmission:E3,0.91
E2,battery,0.96
E2,biomass,0.29
E2,coal,0.38
E2,diesel,0.46
E2,gas,0.57
E2,geothermal,0.18
E2,hydro,0.95
E2,pumped_hydro,0.92
E2,wind_offshore,1.0
E2,wind_onshore,1.0
E3,ac_transmission:E2,0.91
E3,ac_transmission:E4,0.91
E3,ac_transmission_new:C5,0.91
E3,battery,0.96
E3,biomass,0.29
E3,coal,0.38
E3,diesel,0.46
E3,gas,0.57
E3,geothermal,0.18
E3,hydro,0.95
E3,pumped_hydro,0.92
E3,wind_offshore,1.0
E3,wind_onshore,1.0
E4,ac_transmission:E3,0.91
E4,ac_transmission_new:E5,0.91
E4,battery,0.96
E4,biomass,0.29
E4,coal,0.38
E4,diesel,0.46
E4,gas,0.57
E4,geothermal,0.18
E4,hydro,0.95
E4,pumped_hydro,0.92
E4,wind_offshore,1.0
E4,wind_onshore,1.0
E5,ac_transmission_new:E4,0.91
E5,ac_transmission_new:N2,0.91
E5,battery,0.96
E5,biomass,0.29
E5,coal,0.38
E5,diesel,0.46
E5,gas,0.57
E5,geothermal,0.18
E5,hydro,0.95
E5,pumped_hydro,0.92
E5,wind_offshore,1.0
E5,wind_onshore,1.0
N1,ac_transmission_new:N2,0.91
N1,battery,0.96
N1,biomass,0.29
N1,coal,0.38
N1,diesel,0.46
N1,gas,0.57
N1,geothermal,0.18
N1,hydro,0.95
N1,pumped_hydro,0.92
N1,wind_offshore,1.0
N1,wind_onshore,1.0
N2,ac_transmission_new:E5,0.91
N2,ac_transmission_new:N1,0.91
N2,battery,0.96
N2,biomass,0.29
N2,coal,0.38
N2,diesel,0.46
N2,gas,0.57
N2,geothermal,0.18
N2,hydro,0.95
N2,pumped_hydro,0.92
N2,wind_offshore,1.0
N2,wind_onshore,1.0
S1,ac_transmission:C4,0.91
S1,ac_transmission:S2,0.91
S1,ac_transmission:S3,0.91
S1,battery,0.96
S1,biomass,0.29
S1,coal,0.38
S1,diesel,0.46
S1,gas,0.57
S1,geothermal,0.18
S1,hydro,0.95
S1,pumped_hydro,0.92
S1,wind_offshore,1.0
S1,wind_onshore,1.0
S2,ac_transmission:C5,0.91
S2,ac_transmission:E1,0.91
S2,ac_transmission:S1,0.91
S2,ac_transmission_new:S3,0.91
S2,battery,0.96
S2,biomass,0.29
S2,coal,0.38
S2,diesel,0.46
S2,gas,0.57
S2,geothermal,0.18
S2,hydro,0.95
S2,pumped_hydro,0.92
S2,wind_offshore,1.0
S2,wind_onshore,1.0
S3,ac_transmission:S1,0.91
S3,ac_transmission_new:S2,0.91
S3,battery,0.96
S3,biomass,0.29
S3,coal,0.38
S3,diesel,0.46
S3,gas,0.57
S3,geothermal,0.18
S3,hydro,0.95
S3,pumped_hydro,0.92
S3,wind_offshore,1.0
S3,wind_onshore,1.0
W1,ac_transmission:W2,0.91
W1,ac_transmission:W3,0.91
W1,battery,0.96
W1,biomass,0.29
W1,coal,0.38
W1,diesel,0.46
W1,gas,0.57
W1,geothermal,0.18
W1,hydro,0.95
W1,pumped_hydro,0.92
W1,wind_offshore,1.0
W1,wind_onshore,1.0
W2,ac_transmission:W1,0.91
W2,ac_transmission:W4,0.91
W2,ac_transmission_new:W6,0.91
W2,battery,0.96
W2,biomass,0.29
W2,coal,0.38
W2,diesel,0.46
W2,gas,0.57
