locs,techs,lookup_loc_techs
C1,ac_transmission:C2,C1::ac_transmission:C2::power
C1,ac_transmission_new:W6,C1::ac_transmission_new:W6::power
C1,battery,C1::battery::power
C1,biomass,C1::biomass::power
C1,coal,C1::coal::power
C1,demand_power,C1::demand_power::power
C1,diesel,C1::diesel::power
C1,gas,C1::gas::power
C1,geothermal,C1::geothermal::power
C1,hydro,C1::hydro::power
C1,pumped_hydro,C1::pumped_hydro::power
C1,solar,C1::solar::power
C1,wind_offshore,C1::wind_offshore::power
C1,wind_onshore,C1::wind_onshore::power
C2,ac_transmission:C1,C2::ac_transmission:C1::power
C2,ac_transmission:C3,C2::ac_transmission:C3::power
C2,battery,C2::battery::power
C2,biomass,C2::biomass::power
C2,coal,C2::coal::power
C2,demand_power,C2::demand_power::power
C2,diesel,C2::diesel::power
C2,gas,C2::gas::power
C2,geothermal,C2::geothermal::power
C2,hydro,C2::hydro::power
C2,pumped_hydro,C2::pumped_hydro::power
C2,solar,C2::solar::power
C2,wind_offshore,C2::wind_offshore::power
C2,wind_onshore,C2::wind_onshore::power
C3,ac_transmission:C2,C3::ac_transmission:C2::power
C3,ac_transmission:C4,C3::ac_transmission:C4::power
C3,ac_transmission:C5,C3::ac_transmission:C5::power
C3,battery,C3::battery::power
C3,biomass,C3::biomass::power
C3,coal,C3::coal::power
C3,demand_power,C3::demand_power::power
C3,diesel,C3::diesel::power
C3,gas,C3::gas::power
C3,geothermal,C3::geothermal::power
C3,hydro,C3::hydro::power
C3,pumped_hydro,C3::pumped_hydro::power
C3,solar,C3::solar::power
C3,wind_offshore,C3::wind_offshore::power
C3,wind_onshore,C3::wind_onshore::power
C4,ac_transmission:C3,C4::ac_transmission:C3::power
C4,ac_transmission:S1,C4::ac_transmission:S1::power
C4,battery,C4::battery::power
C4,biomass,C4::biomass::power
C4,coal,C4::coal::power
C4,demand_power,C4::demand_power::power
C4,diesel,C4::diesel::power
C4,gas,C4::gas::power
C4,geothermal,C4::geothermal::power
C4,hydro,C4::hydro::power
C4,pumped_hydro,C4::pumped_hydro::power
C4,solar,C4::solar::power
C4,wind_offshore,C4::wind_offshore::power
C4,wind_onshore,C4::wind_onshore::power
C5,ac_transmission:C3,C5::ac_transmission:C3::power
C5,ac_transmission:S2,C5::ac_transmission:S2::power
C5,ac_transmission_new:E3,C5::ac_transmission_new:E3::power
C5,battery,C5::battery::power
C5,biomass,C5::biomass::power
C5,coal,C5::coal::power
C5,demand_power,C5::demand_power::power
C5,diesel,C5::diesel::power
C5,gas,C5::gas::power
C5,geothermal,C5::geothermal::power
C5,hydro,C5::hydro::power
C5,pumped_hydro,C5::pumped_hydro::power
C5,solar,C5::solar::power
C5,wind_offshore,C5::wind_offshore::power
C5,wind_onshore,C5::wind_onshore::power
E1,ac_transmission:E2,E1::ac_transmission:E2::power
E1,ac_transmission:S2,E1::ac_transmission:S2::power
E1,battery,E1::battery::power
E1,biomass,E1::biomass::power
E1,coal,E1::coal::power
E1,demand_power,E1::demand_power::power
E1,diesel,E1::diesel::power
E1,gas,E1::gas::power
E1,geothermal,E1::geothermal::power
E1,hydro,E1::hydro::power
E1,pumped_hydro,E1::pumped_hydro::power
E1,solar,E1::solar::power
E1,wind_offshore,E1::wind_offshore::power
E1,wind_onshore,E1::wind_onshore::power
E2,ac_transmission:E1,E2::ac_transmission:E1::power
E2,ac_transmission:E3,E2::ac_transmission:E3::power
E2,battery,E2::battery::power
E2,biomass,E2::biomass::power
E2,coal,E2::coal::power
E2,demand_power,E2::demand_power::power
E2,diesel,E2::diesel::power
E2,gas,E2::gas::power
E2,geothermal,E2::geothermal::power
E2,hydro,E2::hydro::power
