locs,techs,lookup_remotes
C1,ac_transmission:C2,C2::ac_transmission:C1
C1,ac_transmission_new:W6,W6::ac_transmission_new:C1
C2,ac_transmission:C1,C1::ac_transmission:C2
C2,ac_transmission:C3,C3::ac_transmission:C2
C3,ac_transmission:C2,C2::ac_transmission:C3
C3,ac_transmission:C4,C4::ac_transmission:C3
C3,ac_transmission:C5,C5::ac_transmission:C3
C4,ac_transmission:C3,C3::ac_transmission:C4
C4,ac_transmission:S1,S1::ac_transmission:C4
C5,ac_transmission:C3,C3::ac_transmission:C5
C5,ac_transmission:S2,S2::ac_transmission:C5
C5,ac_transmission_new:E3,E3::ac_transmission_new:C5
E1,ac_transmission:E2,E2::ac_transmission:E1
E1,ac_transmission:S2,S2::ac_transmission:E1
E2,ac_transmission:E1,E1::ac_transmission:E2
E2,ac_transmission:E3,E3::ac_transmission:E2
E3,ac_transmission:E2,E2::ac_transmission:E3
E3,ac_transmission:E4,E4::ac_transmission:E3
E3,ac_transmission_new:C5,C5::ac_transmission_new:E3
E4,ac_transmission:E3,E3::ac_transmission:E4
E4,ac_transmission_new:E5,E5::ac_transmission_new:E4
E5,ac_transmission_new:E4,E4::ac_transmission_new:E5
E5,ac_transmission_new:N2,N2::ac_transmission_new:E5
N1,ac_transmission_new:N2,N2::ac_transmission_new:N1
N2,ac_transmission_new:E5,E5::ac_transmission_new:N2
N2,ac_transmission_new:N1,N1::ac_transmission_new:N2
S1,ac_transmission:C4,C4::ac_transmission:S1
S1,ac_transmission:S2,S2::ac_transmission:S1
S1,ac_transmission:S3,S3::ac_transmission:S1
S2,ac_transmission:C5,C5::ac_transmission:S2
S2,ac_transmission:E1,E1::ac_transmission:S2
S2,ac_transmission:S1,S1::ac_transmission:S2
S2,ac_transmission_new:S3,S3::ac_transmission_new:S2
S3,ac_transmission:S1,S1::ac_transmission:S3
S3,ac_transmission_new:S2,S2::ac_transmission_new:S3
W1,ac_transmission:W2,W2::ac_transmission:W1
W1,ac_transmission:W3,W3::ac_transmission:W1
W2,ac_transmission:W1,W1::ac_transmission:W2
W2,ac_transmission:W4,W4::ac_transmission:W2
W2,ac_transmission_new:W6,W6::ac_transmission_new:W2
W3,ac_transmission:W1,W1::ac_transmission:W3
W3,ac_transmission:W4,W4::ac_transmission:W3
W3,hvac_transmission:W3-IMP,W3-IMP::hvac_transmission:W3
W3-IMP,hvac_transmission:W3,W3::hvac_transmission:W3-IMP
W4,ac_transmission:W2,W2::ac_transmission:W4
W4,ac_transmission:W3,W3::ac_transmission:W4
W4,ac_transmission_new:W5,W5::ac_transmission_new:W4
W5,ac_transmission_new:W4,W4::ac_transmission_new:W5
W5,ac_transmission_new:W7,W7::ac_transmission_new:W5
W6,ac_transmission_new:C1,C1::ac_transmission_new:W6
W6,ac_transmission_new:W2,W2::ac_transmission_new:W6
W7,ac_transmission_new:W5,W5::ac_transmission_new:W7
