costs,locs,techs,cost_energy_cap
monetary,C1,ac_transmission_new:W6,1.0
monetary,C1,battery,360000.0
monetary,C1,biomass,2500000.0
monetary,C1,coal,1150000.0
monetary,C1,diesel,800000.0
monetary,C1,gas,1920000.0
monetary,C1,geothermal,2840000.0
monetary,C1,hydro,2290000.0
monetary,C1,pumped_hydro,1400000.0
monetary,C1,solar,560000.0
monetary,C1,wind_offshore,2980000.0
monetary,C1,wind_onshore,1280000.0
monetary,C2,battery,360000.0
monetary,C2,biomass,2500000.0
monetary,C2,coal,1150000.0
monetary,C2,diesel,800000.0
monetary,C2,gas,1920000.0
monetary,C2,geothermal,2840000.0
monetary,C2,hydro,2290000.0
monetary,C2,pumped_hydro,1400000.0
monetary,C2,solar,560000.0
monetary,C2,wind_offshore,2980000.0
monetary,C2,wind_onshore,1280000.0
monetary,C3,battery,360000.0
monetary,C3,biomass,2500000.0
monetary,C3,coal,1150000.0
monetary,C3,diesel,800000.0
monetary,C3,gas,1920000.0
monetary,C3,geothermal,2840000.0
monetary,C3,hydro,2290000.0
monetary,C3,pumped_hydro,1400000.0
monetary,C3,solar,560000.0
monetary,C3,wind_offshore,2980000.0
monetary,C3,wind_onshore,1280000.0
monetary,C4,battery,360000.0
monetary,C4,biomass,2500000.0
monetary,C4,coal,1150000.0
monetary,C4,diesel,800000.0
monetary,C4,gas,1920000.0
monetary,C4,geothermal,2840000.0
monetary,C4,hydro,2290000.0
monetary,C4,pumped_hydro,1400000.0
monetary,C4,solar,560000.0
monetary,C4,wind_offshore,2980000.0
monetary,C4,wind_onshore,1280000.0
monetary,C5,ac_transmission_new:E3,1.0
monetary,C5,battery,360000.0
monetary,C5,biomass,2500000.0
monetary,C5,coal,1150000.0
monetary,C5,diesel,800000.0
monetary,C5,gas,1920000.0
monetary,C5,geothermal,2840000.0
monetary,C5,hydro,2290000.0
monetary,C5,pumped_hydro,1400000.0
monetary,C5,solar,560000.0
monetary,C5,wind_offshore,2980000.0
monetary,C5,wind_onshore,1280000.0
monetary,E1,battery,360000.0
monetary,E1,biomass,2500000.0
monetary,E1,coal,1150000.0
monetary,E1,diesel,800000.0
monetary,E1,gas,1920000.0
monetary,E1,geothermal,2840000.0
monetary,E1,hydro,2290000.0
monetary,E1,pumped_hydro,1400000.0
monetary,E1,solar,560000.0
monetary,E1,wind_offshore,2980000.0
monetary,E1,wind_onshore,1280000.0
monetary,E2,battery,360000.0
monetary,E2,biomass,2500000.0
monetary,E2,coal,1150000.0
monetary,E2,diesel,800000.0
monetary,E2,gas,1920000.0
monetary,E2,geothermal,2840000.0
monetary,E2,hydro,2290000.0
monetary,E2,pumped_hydro,1400000.0
monetary,E2,solar,560000.0
monetary,E2,wind_offshore,2980000.0
monetary,E2,wind_onshore,1280000.0
monetary,E3,ac_transmission_new:C5,1.0
monetary,E3,battery,360000.0
monetary,E3,biomass,2500000.0
monetary,E3,coal,1150000.0
monetary,E3,diesel,800000.0
monetary,E3,gas,1920000.0
monetary,E3,geothermal,2840000.0
monetary,E3,hydro,2290000.0
monetary,E3,pumped_hydro,1400000.0
monetary,E3,solar,560000.0
monetary,E3,wind_offshore,2980000.0
monetary,E3,wind_onshore,1280000.0
monetary,E4,ac_transmission_new:E5,1.0
monetary,E4,battery,360000.0
monetary,E4,biomass,2500000.0
monetary,E4,coal,1150000.0
monetary,E4,diesel,800000.0
monetary,E4,gas,1920000.0
monetary,E4,geothermal,2840000.0
monetary,E4,hydro,2290000.0
monetary,E4,pumped_hydro,1400000.0
monetary,E4,solar,560000.0
monetary,E4,wind_offshore,2980000.0
monetary,E4,wind_onshore,1280000.0
monetary,E5,ac_transmission_new:E4,1.0
monetary,E5,ac_transmission_new:N2,1.0
monetary,E5,battery,360000.0
monetary,E5,biomass,2500000.0
monetary,E5,coal,1150000.0
monetary,E5,diesel,800000.0
monetary,E5,gas,1920000.0
monetary,E5,geothermal,2840000.0
monetary,E5,hydro,2290000.0
monetary,E5,pumped_hydro,1400000.0
monetary,E5,solar,560000.0
monetary,E5,wind_offshore,2980000.0
monetary,E5,wind_onshore,1280000.0
monetary,N1,ac_transmission_new:N2,1.0
monetary,N1,battery,360000.0
monetary,N1,biomass,2500000.0
monetary,N1,coal,1150000.0
monetary,N1,diesel,800000.0
monetary,N1,gas,1920000.0
monetary,N1,geothermal,2840000.0
monetary,N1,hydro,2290000.0
monetary,N1,pumped_hydro,1400000.0
monetary,N1,solar,560000.0
monetary,N1,wind_offshore,2980000.0
monetary,N1,wind_onshore,1280000.0
monetary,N2,ac_transmission_new:E5,1.0
monetary,N2,ac_transmission_new:N1,1.0
monetary,N2,battery,360000.0
monetary,N2,biomass,2500000.0
monetary,N2,coal,1150000.0
monetary,N2,diesel,800000.0
monetary,N2,gas,1920000.0
monetary,N2,geothermal,2840000.0
monetary,N2,hydro,2290000.0
monetary,N2,pumped_hydro,1400000.0
monetary,N2,solar,560000.0
monetary,N2,wind_offshore,2980000.0
monetary,N2,wind_onshore,1280000.0
monetary,S1,battery,360000.0
monetary,S1,biomass,2500000.0
monetary,S1,coal,1150000.0
monetary,S1,diesel,800000.0
monetary,S1,gas,1920000.0
monetary,S1,geothermal,2840000.0
monetary,S1,hydro,2290000.0
monetary,S1,pumped_hydro,1400000.0
monetary,S1,solar,560000.0
monetary,S1,wind_offshore,2980000.0
monetary,S1,wind_onshore,1280000.0
monetary,S2,ac_transmission_new:S3,1.0
monetary,S2,battery,360000.0
monetary,S2,biomass,2500000.0
monetary,S2,coal,1150000.0
monetary,S2,diesel,800000.0
monetary,S2,gas,1920000.0
monetary,S2,geothermal,2840000.0
monetary,S2,hydro,2290000.0
monetary,S2,pumped_hydro,1400000.0
monetary,S2,solar,560000.0
monetary,S2,wind_offshore,2980000.0
monetary,S2,wind_onshore,1280000.0
monetary,S3,ac_transmission_new:S2,1.0
monetary,S3,battery,360000.0
monetary,S3,biomass,2500000.0
monetary,S3,coal,1150000.0
monetary,S3,diesel,800000.0
monetary,S3,gas,1920000.0
monetary,S3,geothermal,2840000.0
monetary,S3,hydro,2290000.0
monetary,S3,pumped_hydro,1400000.0
monetary,S3,solar,560000.0
monetary,S3,wind_offshore,2980000.0
monetary,S3,wind_onshore,1280000.0
monetary,W1,battery,360000.0
monetary,W1,biomass,2500000.0
monetary,W1,coal,1150000.0
monetary,W1,diesel,800000.0
monetary,W1,gas,1920000.0
monetary,W1,geothermal,2840000.0
monetary,W1,hydro,2290000.0
monetary,W1,pumped_hydro,1400000.0
monetary,W1,solar,560000.0
monetary,W1,wind_offshore,2980000.0
monetary,W1,wind_onshore,1280000.0
monetary,W2,ac_transmission_new:W6,1.0
monetary,W2,battery,360000.0
monetary,W2,biomass,2500000.0
monetary,W2,coal,1150000.0
monetary,W2,diesel,800000.0
monetary,W2,gas,1920000.0
monetary,W2,geothermal,2840000.0
monetary,W2,hydro,2290000.0
monetary,W2,pumped_hydro,1400000.0
monetary,W2,solar,560000.0
monetary,W2,wind_offshore,2980000.0
monetary,W2,wind_onshore,1280000.0
monetary,W3,battery,360000.0
monetary,W3,biomass,2500000.0
monetary,W3,coal,1150000.0
monetary,W3,diesel,800000.0
monetary,W3,gas,1920000.0
monetary,W3,geothermal,2840000.0
monetary,W3,hvac_transmission:W3-IMP,1.06
monetary,W3,hydro,2290000.0
monetary,W3,pumped_hydro,1400000.0
monetary,W3,solar,560000.0
monetary,W3,wind_offshore,2980000.0
monetary,W3,wind_onshore,1280000.0
monetary,W3-IMP,hvac_transmission:W3,1.06
monetary,W3-IMP,hydro_import,2080000.0
monetary,W4,ac_transmission_new:W5,1.0
monetary,W4,battery,360000.0
monetary,W4,biomass,2500000.0
monetary,W4,coal,1150000.0
monetary,W4,diesel,800000.0
monetary,W4,gas,1920000.0
monetary,W4,geothermal,2840000.0
monetary,W4,hydro,2290000.0
monetary,W4,pumped_hydro,1400000.0
monetary,W4,solar,560000.0
monetary,W4,wind_offshore,2980000.0
monetary,W4,wind_onshore,1280000.0
monetary,W5,ac_transmission_new:W4,1.0
monetary,W5,ac_transmission_new:W7,1.0
monetary,W5,battery,360000.0
monetary,W5,biomass,2500000.0
monetary,W5,coal,1150000.0
monetary,W5,diesel,800000.0
monetary,W5,gas,1920000.0
monetary,W5,geothermal,2840000.0
monetary,W5,hydro,2290000.0
monetary,W5,pumped_hydro,1400000.0
monetary,W5,solar,560000.0
monetary,W5,wind_offshore,2980000.0
monetary,W5,wind_onshore,1280000.0
monetary,W6,ac_transmission_new:C1,1.0
monetary,W6,ac_transmission_new:W2,1.0
monetary,W6,battery,360000.0
monetary,W6,biomass,2500000.0
monetary,W6,coal,1150000.0
monetary,W6,diesel,800000.0
monetary,W6,gas,1920000.0
monetary,W6,geothermal,2840000.0
monetary,W6,hydro,2290000.0
monetary,W6,pumped_hydro,1400000.0
monetary,W6,solar,560000.0
monetary,W6,wind_offshore,2980000.0
monetary,W6,wind_onshore,1280000.0
monetary,W7,ac_transmission_new:W5,1.0
monetary,W7,battery,360000.0
monetary,W7,biomass,2500000.0
monetary,W7,coal,1150000.0
monetary,W7,diesel,800000.0
monetary,W7,gas,1920000.0
monetary,W7,geothermal,2840000.0
monetary,W7,hydro,2290000.0
monetary,W7,pumped_hydro,1400000.0
monetary,W7,solar,560000.0
monetary,W7,wind_offshore,2980000.0
monetary,W7,wind_onshore,1280000.0
