locs,techs,energy_con
C1,ac_transmission:C2,1.0
C1,ac_transmission_new:W6,1.0
C1,battery,1.0
C1,demand_power,1.0
C1,pumped_hydro,1.0
C2,ac_transmission:C1,1.0
C2,ac_transmission:C3,1.0
C2,battery,1.0
C2,demand_power,1.0
C2,pumped_hydro,1.0
C3,ac_transmission:C2,1.0
C3,ac_transmission:C4,1.0
C3,ac_transmission:C5,1.0
C3,battery,1.0
C3,demand_power,1.0
C3,pumped_hydro,1.0
C4,ac_transmission:C3,1.0
C4,ac_transmission:S1,1.0
C4,battery,1.0
C4,demand_power,1.0
C4,pumped_hydro,1.0
C5,ac_transmission:C3,1.0
C5,ac_transmission:S2,1.0
C5,ac_transmission_new:E3,1.0
C5,battery,1.0
C5,demand_power,1.0
C5,pumped_hydro,1.0
E1,ac_transmission:E2,1.0
E1,ac_transmission:S2,1.0
E1,battery,1.0
E1,demand_power,1.0
E1,pumped_hydro,1.0
E2,ac_transmission:E1,1.0
E2,ac_transmission:E3,1.0
E2,battery,1.0
E2,demand_power,1.0
E2,pumped_hydro,1.0
E3,ac_transmission:E2,1.0
E3,ac_transmission:E4,1.0
E3,ac_transmission_new:C5,1.0
E3,battery,1.0
E3,demand_power,1.0
E3,pumped_hydro,1.0
E4,ac_transmission:E3,1.0
E4,ac_transmission_new:E5,1.0
E4,battery,1.0
E4,demand_power,1.0
E4,pumped_hydro,1.0
E5,ac_transmission_new:E4,1.0
E5,ac_transmission_new:N2,1.0
E5,battery,1.0
E5,demand_power,1.0
E5,pumped_hydro,1.0
N1,ac_transmission_new:N2,1.0
N1,battery,1.0
N1,demand_power,1.0
N1,pumped_hydro,1.0
N2,ac_transmission_new:E5,1.0
N2,ac_transmission_new:N1,1.0
N2,battery,1.0
N2,demand_power,1.0
N2,pumped_hydro,1.0
S1,ac_transmission:C4,1.0
S1,ac_transmission:S2,1.0
S1,ac_transmission:S3,1.0
S1,battery,1.0
S1,demand_power,1.0
S1,pumped_hydro,1.0
S2,ac_transmission:C5,1.0
S2,ac_transmission:E1,1.0
S2,ac_transmission:S1,1.0
S2,ac_transmission_new:S3,1.0
S2,battery,1.0
S2,demand_power,1.0
S2,pumped_hydro,1.0
S3,ac_transmission:S1,1.0
S3,ac_transmission_new:S2,1.0
S3,battery,1.0
S3,demand_power,1.0
S3,pumped_hydro,1.0
W1,ac_transmission:W2,1.0
W1,ac_transmission:W3,1.0
W1,battery,1.0
W1,demand_power,1.0
W1,pumped_hydro,1.0
W2,ac_transmission:W1,1.0
W2,ac_transmission:W4,1.0
W2,ac_transmission_new:W6,1.0
W2,battery,1.0
W2,demand_power,1.0
W2,pumped_hydro,1.0
W3,ac_transmission:W1,1.0
W3,ac_transmission:W4,1.0
W3,battery,1.0
W3,demand_power,1.0
W3,hvac_transmission:W3-IMP,1.0
W3,pumped_hydro,1.0
W3-IMP,hvac_transmission:W3,1.0
W4,ac_transmission:W2,1.0
W4,ac_transmission:W3,1.0
W4,ac_transmission_new:W5,1.0
W4,battery,1.0
W4,demand_power,1.0
W4,pumped_hydro,1.0
W5,ac_transmission_new:W4,1.0
W5,ac_transmission_new:W7,1.0
W5,battery,1.0
W5,demand_power,1.0
W5,pumped_hydro,1.0
W6,ac_transmission_new:C1,1.0
W6,ac_transmission_new:W2,1.0
W6,battery,1.0
W6,demand_power,1.0
W6,pumped_hydro,1.0
W7,ac_transmission_new:W5,1.0
W7,battery,1.0
W7,demand_power,1.0
W7,pumped_hydro,1.0
