locs,techs,lifetime
C1,ac_transmission:C2,25.0
C1,ac_transmission_new:W6,25.0
C1,battery,20.0
C1,biomass,25.0
C1,coal,30.0
C1,diesel,25.0
C1,gas,25.0
C1,geothermal,30.0
C1,hydro,50.0
C1,pumped_hydro,50.0
C1,solar,25.0
C1,wind_offshore,27.0
C1,wind_onshore,27.0
C2,ac_transmission:C1,25.0
C2,ac_transmission:C3,25.0
C2,battery,20.0
C2,biomass,25.0
C2,coal,30.0
C2,diesel,25.0
C2,gas,25.0
C2,geothermal,30.0
C2,hydro,50.0
C2,pumped_hydro,50.0
C2,solar,25.0
C2,wind_offshore,27.0
C2,wind_onshore,27.0
C3,ac_transmission:C2,25.0
C3,ac_transmission:C4,25.0
C3,ac_transmission:C5,25.0
C3,battery,20.0
C3,biomass,25.0
C3,coal,30.0
C3,diesel,25.0
C3,gas,25.0
C3,geothermal,30.0
C3,hydro,50.0
C3,pumped_hydro,50.0
C3,solar,25.0
C3,wind_offshore,27.0
C3,wind_onshore,27.0
C4,ac_transmission:C3,25.0
C4,ac_transmission:S1,25.0
C4,battery,20.0
C4,biomass,25.0
C4,coal,30.0
C4,diesel,25.0
C4,gas,25.0
C4,geothermal,30.0
C4,hydro,50.0
C4,pumped_hydro,50.0
C4,solar,25.0
C4,wind_offshore,27.0
C4,wind_onshore,27.0
C5,ac_transmission:C3,25.0
C5,ac_transmission:S2,25.0
C5,ac_transmission_new:E3,25.0
C5,battery,20.0
C5,biomass,25.0
C5,coal,30.0
C5,diesel,25.0
C5,gas,25.0
C5,geothermal,30.0
C5,hydro,50.0
C5,pumped_hydro,50.0
C5,solar,25.0
C5,wind_offshore,27.0
C5,wind_onshore,27.0
E1,ac_transmission:E2,25.0
E1,ac_transmission:S2,25.0
E1,battery,20.0
E1,biomass,25.0
E1,coal,30.0
E1,diesel,25.0
E1,gas,25.0
E1,geothermal,30.0
E1,hydro,50.0
E1,pumped_hydro,50.0
E1,solar,25.0
E1,wind_offshore,27.0
E1,wind_onshore,27.0
E2,ac_transmission:E1,25.0
E2,ac_transmission:E3,25.0
E2,battery,20.0
E2,biomass,25.0
E2,coal,30.0
E2,diesel,25.0
E2,gas,25.0
E2,geothermal,30.0
E2,hydro,50.0
E2,pumped_hydro,50.0
E2,solar,25.0
E2,wind_offshore,27.0
E2,wind_onshore,27.0
E3,ac_transmission:E2,25.0
E3,ac_transmission:E4,25.0
E3,ac_transmission_new:C5,25.0
E3,battery,20.0
E3,biomass,25.0
E3,coal,30.0
E3,diesel,25.0
E3,gas,25.0
E3,geothermal,30.0
E3,hydro,50.0
E3,pumped_hydro,50.0
E3,solar,25.0
E3,wind_offshore,27.0
E3,wind_onshore,27.0
E4,ac_transmission:E3,25.0
E4,ac_transmission_new:E5,25.0
E4,battery,20.0
E4,biomass,25.0
E4,coal,30.0
E4,diesel,25.0
E4,gas,25.0
E4,geothermal,30.0
E4,hydro,50.0
E4,pumped_hydro,50.0
E4,solar,25.0
E4,wind_offshore,27.0
E4,wind_onshore,27.0
E5,ac_transmission_new:E4,25.0
E5,ac_transmission_new:N2,25.0
E5,battery,20.0
E5,biomass,25.0
E5,coal,30.0
E5,diesel,25.0
E5,gas,25.0
E5,geothermal,30.0
E5,hydro,50.0
E5,pumped_hydro,50.0
E5,solar,25.0
E5,wind_offshore,27.0
E5,wind_onshore,27.0
N1,ac_transmission_new:N2,25.0
N1,battery,20.0
N1,biomass,25.0
N1,coal,30.0
N1,diesel,25.0
N1,gas,25.0
N1,geothermal,30.0
N1,hydro,50.0
N1,pumped_hydro,50.0
N1,solar,25.0
N1,wind_offshore,27.0
N1,wind_onshore,27.0
N2,ac_transmission_new:E5,25.0
N2,ac_transmission_new:N1,25.0
N2,battery,20.0
N2,biomass,25.0
N2,coal,30.0
N2,diesel,25.0
N2,gas,25.0
N2,geothermal,30.0
N2,hydro,50.0
N2,pumped_hydro,50.0
N2,solar,25.0
N2,wind_offshore,27.0
N2,wind_onshore,27.0
S1,ac_transmission:C4,25.0
S1,ac_transmission:S2,25.0
S1,ac_transmission:S3,25.0
S1,battery,20.0
S1,biomass,25.0
S1,coal,30.0
S1,diesel,25.0
S1,gas,25.0
S1,geothermal,30.0
S1,hydro,50.0
S1,pumped_hydro,50.0
S1,solar,25.0
S1,wind_offshore,27.0
S1,wind_onshore,27.0
S2,ac_transmission:C5,25.0
S2,ac_transmission:E1,25.0
S2,ac_transmission:S1,25.0
S2,ac_transmission_new:S3,25.0
S2,battery,20.0
S2,biomass,25.0
S2,coal,30.0
S2,diesel,25.0
S2,gas,25.0
S2,geothermal,30.0
S2,hydro,50.0
S2,pumped_hydro,50.0
S2,solar,25.0
S2,wind_offshore,27.0
S2,wind_onshore,27.0
S3,ac_transmission:S1,25.0
S3,ac_transmission_new:S2,25.0
S3,battery,20.0
S3,biomass,25.0
S3,coal,30.0
S3,diesel,25.0
S3,gas,25.0
S3,geothermal,30.0
S3,hydro,50.0
S3,pumped_hydro,50.0
S3,solar,25.0
S3,wind_offshore,27.0
