locs,techs,energy_cap
C1,ac_transmission:C2,156.74095807826984
C1,ac_transmission_new:W6,160.45010742035845
C1,battery,0.0
C1,biomass,33.0
C1,coal,0.0
C1,demand_power,73.5
C1,diesel,42.72
C1,gas,0.0
C1,geothermal,0.0
C1,hydro,0.0
C1,pumped_hydro,0.0
C1,solar,9.83
C1,wind_offshore,0.0
C1,wind_onshore,0.0
C2,ac_transmission:C1,156.74095807826984
C2,ac_transmission:C3,77.9746362095157
C2,battery,0.0
C2,biomass,0.0
C2,coal,50.0
C2,demand_power,100.5
C2,diesel,4.67
C2,gas,0.0
C2,geothermal,0.0
C2,hydro,0.0
C2,pumped_hydro,0.0
C2,solar,0.0
C2,wind_offshore,0.0
C2,wind_onshore,0.0
C3,ac_transmission:C2,77.9746362095157
C3,ac_transmission:C4,120.16137362637362
C3,ac_transmission:C5,129.00172289131754
C3,battery,0.0
C3,biomass,0.0
C3,coal,0.0
C3,demand_power,50.5
C3,diesel,25.57
C3,gas,0.0
C3,geothermal,0.0
C3,hydro,0.0
C3,pumped_hydro,0.0
C3,solar,5.7
C3,wind_offshore,0.0
C3,wind_onshore,0.0
C4,ac_transmission:C3,120.16137362637362
C4,ac_transmission:S1,120.6229775010988
C4,battery,0.0
C4,biomass,0.0
C4,coal,0.0
C4,demand_power,142.5
C4,diesel,12.26
C4,gas,0.0
C4,geothermal,0.0
C4,hydro,0.0
C4,pumped_hydro,0.0
C4,solar,0.0
C4,wind_offshore,0.0
C4,wind_onshore,0.0
C5,ac_transmission:C3,129.00172289131754
C5,ac_transmission:S2,386.58085775824173
C5,ac_transmission_new:E3,150.4851407268446
C5,battery,0.0
C5,biomass,0.0
C5,coal,7.0
C5,demand_power,87.0
C5,diesel,0.48
C5,gas,39.08
C5,geothermal,0.0
C5,hydro,400.0
C5,pumped_hydro,0.0
C5,solar,8.67
C5,wind_offshore,0.0
C5,wind_onshore,0.0
E1,ac_transmission:E2,21.88211475698212
E1,ac_transmission:S2,150.85904762021977
E1,battery,0.0
E1,biomass,0.0
E1,coal,14.0
E1,demand_power,157.0
E1,diesel,5.21
E1,gas,0.0
E1,geothermal,0.0
E1,hydro,0.0
E1,pumped_hydro,0.0
E1,solar,3.2
E1,wind_offshore,0.0
E1,wind_onshore,0.0
E2,ac_transmission:E1,21.88211475698212
E2,ac_transmission:E3,307.9312799527276
E2,battery,0.0
E2,biomass,0.0
E2,coal,110.0
E2,demand_power,465.0
E2,diesel,7.29
E2,gas,81.0
E2,geothermal,0.0
E2,hydro,0.0
E2,pumped_hydro,0.0
E2,solar,5.1
E2,wind_offshore,0.0
E2,wind_onshore,0.0
E3,ac_transmission:E2,307.9312799527276
E3,ac_transmission:E4,392.9614348071301
E3,ac_transmission_new:C5,150.4851407268446
E3,battery,0.0
E3,biomass,0.0
E3,coal,339.5
E3,demand_power,568.0
E3,diesel,145.79
E3,gas,9.6
E3,geothermal,0.0
E3,hydro,90.0
E3,pumped_hydro,0.0
E3,solar,57.2
E3,wind_offshore,0.0
E3,wind_onshore,0.0
E4,ac_transmission:E3,392.9614348071301
E4,ac_transmission_new:E5,468.03466755550005
E4,battery,0.0
E4,biomass,0.0
E4,coal,259.0
E4,demand_power,142.0
E4,diesel,0.22
E4,gas,51.28
E4,geothermal,0.0
E4,hydro,18.0
E4,pumped_hydro,0.0
E4,solar,24.81
E4,wind_offshore,0.0
E4,wind_onshore,0.0
E5,ac_transmission_new:E4,468.03466755550005
E5,ac_transmission_new:N2,376.68826105
E5,battery,0.0
E5,biomass,0.81
E5,coal,57.63
E5,demand_power,81.0
E5,diesel,31.41
E5,gas,0.0
E5,geothermal,0.0
E5,hydro,155.0
E5,pumped_hydro,0.0
E5,solar,5.5
E5,wind_offshore,0.0
E5,wind_onshore,0.0
N1,ac_transmission_new:N2,115.630555
N1,battery,0.0
N1,biomass,0.0
N1,coal,0.0
N1,demand_power,173.5
N1,diesel,24.1
N1,gas,160.52
N1,geothermal,0.0
N1,hydro,90.24
N1,pumped_hydro,0.0
