,region1-1,region1-2,region1-3
2021/01/01 0:00:00,0,0,0
2021/01/01 1:00:00,0,0,0
2021/01/01 2:00:00,0,0,0
2021/01/01 3:00:00,0,0,0
2021/01/01 4:00:00,0,0,0
2021/01/01 5:00:00,0,0,0
2021/01/01 6:00:00,0,0,0
2021/01/01 7:00:00,0.02106,0.009056,0
2021/01/01 8:00:00,0.263805,0.096755,0
2021/01/01 9:00:00,0.434037,0.245351,0.026837
2021/01/01 10:00:00,0.518277,0.120591,0.171912
2021/01/01 11:00:00,0.531398,0.044248,0.270085
2021/01/01 12:00:00,0.519964,0.020565,0.295433
2021/01/01 13:00:00,0.451715,0,0.240853
2021/01/01 14:00:00,0.304444,0,0.106809
2021/01/01 15:00:00,0.062079,0,0
2021/01/01 16:00:00,0,0,0
2021/01/01 17:00:00,0,0,0
2021/01/01 18:00:00,0,0,0
2021/01/01 19:00:00,0,0,0
2021/01/01 20:00:00,0,0,0
2021/01/01 21:00:00,0,0,0
2021/01/01 22:00:00,0,0,0
2021/01/01 23:00:00,0,0,0
2021/01/02 0:00:00,0,0,0
2021/01/02 1:00:00,0,0,0
2021/01/02 2:00:00,0,0,0
2021/01/02 3:00:00,0,0,0
2021/01/02 4:00:00,0,0,0
2021/01/02 5:00:00,0,0,0
2021/01/02 6:00:00,0,0,0
2021/01/02 7:00:00,0.018766,0.096031,0
2021/01/02 8:00:00,0.257264,0.144047,0
2021/01/02 9:00:00,0.425005,0.098728,0
2021/01/02 10:00:00,0.510026,0,0.123588
2021/01/02 11:00:00,0.520726,0.001851,0.286832
2021/01/02 12:00:00,0.514079,0,0.285821
2021/01/02 13:00:00,0.44711,0,0.211211
2021/01/02 14:00:00,0.298619,0,0.113541
2021/01/02 15:00:00,0.064904,0,0
2021/01/02 16:00:00,0,0,0
2021/01/02 17:00:00,0,0,0
2021/01/02 18:00:00,0,0,0
2021/01/02 19:00:00,0,0,0
2021/01/02 20:00:00,0,0,0
2021/01/02 21:00:00,0,0,0
2021/01/02 22:00:00,0,0,0
2021/01/02 23:00:00,0,0,0
2021/01/03 0:00:00,0,0,0
2021/01/03 1:00:00,0,0,0
2021/01/03 2:00:00,0,0,0
2021/01/03 3:00:00,0,0,0
2021/01/03 4:00:00,0,0,0
2021/01/03 5:00:00,0,0,0
2021/01/03 6:00:00,0,0,0
2021/01/03 7:00:00,0.023159,0.063446,0
2021/01/03 8:00:00,0.263962,0.209424,0
2021/01/03 9:00:00,0.433093,0.235748,0.027271
2021/01/03 10:00:00,0.517377,0.22675,0.177088
2021/01/03 11:00:00,0.52825,0.064664,0.274942
2021/01/03 12:00:00,0.517085,0.007796,0.298652
2021/01/03 13:00:00,0.453117,0,0.242008
2021/01/03 14:00:00,0.308549,0,0.111134
2021/01/03 15:00:00,0.072015,0,0
2021/01/03 16:00:00,0,0,0
2021/01/03 17:00:00,0,0,0
2021/01/03 18:00:00,0,0,0
2021/01/03 19:00:00,0,0,0
