,demand
2021/01/01 00:00:00,-2295.703601
2021/01/01 01:00:00,-2217.368545
2021/01/01 02:00:00,-2144.736683
2021/01/01 03:00:00,-2077.304793
2021/01/01 04:00:00,-2017.085767
2021/01/01 05:00:00,-1980.685965
2021/01/01 06:00:00,-1977.666627
2021/01/01 07:00:00,-1935.899113
2021/01/01 08:00:00,-1864.944661
2021/01/01 09:00:00,-1926.337875
2021/01/01 10:00:00,-2008.195493
2021/01/01 11:00:00,-2052.814604
2021/01/01 12:00:00,-2056.504906
2021/01/01 13:00:00,-2038.724358
2021/01/01 14:00:00,-2062.879065
2021/01/01 15:00:00,-2073.446749
2021/01/01 16:00:00,-2099.782089
2021/01/01 17:00:00,-2106.827212
2021/01/01 18:00:00,-2093.24019
2021/01/01 19:00:00,-2198.917032
2021/01/01 20:00:00,-2351.561361
2021/01/01 21:00:00,-2326.064726
2021/01/01 22:00:00,-2262.155397
2021/01/01 23:00:00,-2208.478271
2021/01/02 00:00:00,-2144.568942
2021/01/02 01:00:00,-2076.969311
2021/01/02 02:00:00,-1996.789103
2021/01/02 03:00:00,-1939.253933
2021/01/02 04:00:00,-1894.467081
2021/01/02 05:00:00,-1883.060692
2021/01/02 06:00:00,-1889.099368
2021/01/02 07:00:00,-1906.712175
2021/01/02 08:00:00,-1914.596003
2021/01/02 09:00:00,-2070.091929
2021/01/02 10:00:00,-2187.510643
2021/01/02 11:00:00,-2268.529556
2021/01/02 12:00:00,-2239.6781
2021/01/02 13:00:00,-2179.291333
2021/01/02 14:00:00,-2215.355652
2021/01/02 15:00:00,-2216.194357
2021/01/02 16:00:00,-2218.710473
2021/01/02 17:00:00,-2196.568658
2021/01/02 18:00:00,-2205.626673
2021/01/02 19:00:00,-2299.226162
2021/01/02 20:00:00,-2404.735264
2021/01/02 21:00:00,-2356.929073
2021/01/02 22:00:00,-2276.077902
2021/01/02 23:00:00,-2194.555766
2021/01/03 00:00:00,-2127.459358
2021/01/03 01:00:00,-2039.395322
2021/01/03 02:00:00,-1966.260237
2021/01/03 03:00:00,-1933.382998
2021/01/03 04:00:00,-1898.492865
2021/01/03 05:00:00,-1870.815597
2021/01/03 06:00:00,-1867.964
2021/01/03 07:00:00,-1868.299482
2021/01/03 08:00:00,-1838.777062
2021/01/03 09:00:00,-1911.241183
2021/01/03 10:00:00,-2008.698716
2021/01/03 11:00:00,-2060.530691
2021/01/03 12:00:00,-2053.485568
2021/01/03 13:00:00,-2019.769623
2021/01/03 14:00:00,-2028.995379
