,W1,W2,W3,W4,W5,W6,W7,C1,C2,C3,C4,C5,S1,S2,S3,E1,E2,E3,E4,E5,N1,N2
2021/01/01 0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 1:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 2:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 3:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 4:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 5:00:00,0,0,0,0,0,0.0002,0,0.0018,0.0032,0.0042,0.006,0.0012,0,0,0,0,0,0,0,0,0,0
2021/01/01 6:00:00,0.015,0.034,0.032,0.038,0.0614,0.0538,0,0.067,0.069,0.0724,0.061,0.0296,0,0,0.0068,0.003666667,0.0025,0.0038,0.0164,0.038,0.0366,0.0298
2021/01/01 7:00:00,0.07,0.1472,0.122,0.16,0.1604,0.1524,0,0.1566,0.152,0.1578,0.1432,0.0842,0,0,0.0564,0.038,0.0385,0.0484,0.1118,0.23,0.2102,0.1762
2021/01/01 8:00:00,0.134,0.2986,0.219,0.309,0.2424,0.2524,0,0.2304,0.229,0.24,0.2228,0.1594,0,0,0.128,0.099333333,0.112,0.132,0.2554,0.4342,0.4134,0.3598
2021/01/01 9:00:00,0.198,0.4158,0.307,0.424,0.303,0.3104,0,0.2694,0.2786,0.267,0.3018,0.2338,0,0,0.2034,0.187,0.2405,0.233,0.4014,0.5608,0.5498,0.5296
2021/01/01 10:00:00,0.253,0.4798,0.343,0.481,0.3502,0.3524,0,0.301,0.35,0.3242,0.3898,0.2796,0,0,0.2886,0.289666667,0.3345,0.329,0.5026,0.6112,0.5848,0.6206
2021/01/01 11:00:00,0.285,0.5062,0.373,0.501,0.384,0.3692,0,0.2984,0.3534,0.3384,0.4244,0.2886,0,0,0.3474,0.354,0.379,0.3978,0.5522,0.63,0.5748,0.6516
2021/01/01 12:00:00,0.294,0.4824,0.396,0.472,0.3718,0.328,0,0.2702,0.313,0.3228,0.4014,0.2626,0,0,0.371,0.378333333,0.419,0.4368,0.5526,0.623,0.5072,0.6428
2021/01/01 13:00:00,0.296,0.409,0.378,0.392,0.3258,0.2708,0,0.2124,0.2362,0.267,0.329,0.2096,0,0,0.3576,0.382,0.449,0.43,0.5146,0.5736,0.3992,0.5884
2021/01/01 14:00:00,0.253,0.2998,0.312,0.28,0.2212,0.2024,0,0.161,0.1668,0.1832,0.2086,0.1548,0,0,0.3132,0.372333333,0.4475,0.3572,0.4428,0.4694,0.2536,0.4758
2021/01/01 15:00:00,0.194,0.1704,0.192,0.153,0.1082,0.134,0,0.096,0.0952,0.097,0.1056,0.0996,0,0,0.2374,0.332,0.388,0.2404,0.3114,0.2854,0.124,0.2784
2021/01/01 16:00:00,0.07,0.0654,0.061,0.055,0.032,0.0516,0,0.0332,0.0322,0.0288,0.0308,0.0414,0,0,0.141,0.227333333,0.258,0.1198,0.1544,0.1172,0.0432,0.114
2021/01/01 17:00:00,0.003,0.0038,0.002,0.002,0,0.002,0,0.0004,0.0002,0,0,0,0,0,0.0498,0.088,0.0895,0.028,0.0314,0.0204,0.0056,0.0232
2021/01/01 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/01 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/02 0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/02 1:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/02 2:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/02 3:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/02 4:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/01/02 5:00:00,0,0,0,0,0.0002,0,0,0,0.0014,0.0024,0.008,0.0072,0,0,0,0,0,0,0,0,0,0
2021/01/02 6:00:00,0.027,0.0214,0.037,0.021,0.0496,0.0202,0,0.03,0.0522,0.0558,0.081,0.0716,0,0,0.0166,0.006333333,0.005,0.0038,0.0022,0.0008,0.0026,0.0024
