,W1,W2,W3,W4,W5,W6,W7,C1,C2,C3,C4,C5,S1,S2,S3,E1,E2,E3,E4,E5,N1,N2
2021/01/01 00:00:00,0,0,0,0,0,0,0,0,0,0,0.2336,0,0,0,0.1642,0,0,0,0,0,0,0
2021/01/01 01:00:00,0,0,0,0,0,0,0,0,0,0,0.2752,0,0,0,0.1966,0,0,0,0,0,0,0
2021/01/01 02:00:00,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0.2174,0,0,0,0,0,0,0
2021/01/01 03:00:00,0,0,0,0,0,0,0,0,0,0,0.2768,0,0,0,0.2146,0,0,0,0,0,0,0
2021/01/01 04:00:00,0,0,0,0,0,0,0,0,0,0,0.2422,0,0,0,0.1986,0,0,0,0,0,0,0
2021/01/01 05:00:00,0,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0.1724,0,0,0,0,0,0,0
2021/01/01 06:00:00,0,0,0,0,0,0,0,0,0,0,0.0948,0,0,0,0.123,0,0,0,0,0,0,0
2021/01/01 07:00:00,0,0,0,0,0,0,0,0,0,0,0.0412,0,0,0,0.0682,0,0,0,0,0,0,0
2021/01/01 08:00:00,0,0,0,0,0,0,0,0,0,0,0.0244,0,0,0,0.0292,0,0,0,0,0,0,0
2021/01/01 09:00:00,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0.0176,0,0,0,0,0,0,0
2021/01/01 10:00:00,0,0,0,0,0,0,0,0,0,0,0.0534,0,0,0,0.0308,0,0,0,0,0,0,0
2021/01/01 11:00:00,0,0,0,0,0,0,0,0,0,0,0.071,0,0,0,0.0566,0,0,0,0,0,0,0
2021/01/01 12:00:00,0,0,0,0,0,0,0,0,0,0,0.0918,0,0,0,0.0828,0,0,0,0,0,0,0
2021/01/01 13:00:00,0,0,0,0,0,0,0,0,0,0,0.1056,0,0,0,0.1116,0,0,0,0,0,0,0
2021/01/01 14:00:00,0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0.129,0,0,0,0,0,0,0
2021/01/01 15:00:00,0,0,0,0,0,0,0,0,0,0,0.1136,0,0,0,0.1308,0,0,0,0,0,0,0
2021/01/01 16:00:00,0,0,0,0,0,0,0,0,0,0,0.1254,0,0,0,0.1208,0,0,0,0,0,0,0
